事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,めざましデリ④,2022/9/12,,チキンソテートマトソース,,200,,本登録,通常レシピ,マイレシピ,その他２,焼物,肉（鶏）,ケチャップ・トマト,その他,,,,,,,165.4,13.54,12.04,1.56,0.672,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,めざましデリ④,2022/9/13,,白身魚（ホキ）の塩焼き,,200,,本登録,通常レシピ,マイレシピ,その他２,焼物,魚,,,,,洋,,設定なし,,93.3,17.195,1.415,2.155,1.365,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,めざましデリ④,2022/9/14,,ホタテ風味カツ,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,魚以外の魚介・練り製品,設定なし,,,,,,,,202.21,7.2,8.6,23.2,1.2,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,めざましデリ④,2022/9/15,,白身魚（ホキ）のつけ焼き,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,塩,香草・しそ,,,洋,,設定なし,,124.45,13.915,6.065,2.795,1.092,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,めざましデリ④,2022/9/16,,若鶏の塩焼,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,塩,その他,,,設定なし,,設定なし,,232.26,15.426,17.822,3.684,0.952,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/9/12,,タンドリーチキン,,360,,本登録,通常レシピ,本部レシピ,肉メイン１,焼物,肉（鶏）,塩,カレー,,設定なし,その他,,,,306.944,20.937,24.506,1.908,1.671,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/9/13,,黒毛和牛コロッケタルタル焼き,,360,,本登録,通常レシピ,マイレシピ,肉メイン２,揚物,いも類（こんにゃく含む）,マヨネーズ,その他,,,,,,,484.834,8.573,38.837,24.753,1.097,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/9/14,,チーズハンバーグ,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（その他）,マヨネーズ,チーズ,,,和,,設定なし,,435.607,17.895,32.25,16.944,1.656,,,,,,,,○,,○,○,,CTM/attachment/2016012813585283916795d07-6f55-4c1e-9674-ffe61ddf6971/00110001-4
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/9/15,,春雨豚キムチ,,360,,本登録,通常レシピ,マイレシピ,冷小鉢,炒物,肉（豚）,設定なし,ピリ辛,,,韓国,,設定なし,0,338.168,18.239,25.895,4.351,1.568,,,,,,,,○,,,,,CTM/attachment/2016012819235345178201a6b-367e-42b7-9fbf-cf5d0a58f2aa/00130019-24
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/9/16,,フライドチキン,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（鶏）,塩,その他,,,洋,,設定なし,,489.461,25.832,32.553,23.672,2.593,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2022/9/12,,桜えび入りクリーミィコロッケ,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚以外の魚介・練り製品,ホワイト・牛乳,,,設定なし,和,静岡,,0,369.885,6.08,24.135,30.325,0.95,,,,,,○,,○,,○,○,,CTM/attachment/20180202181855634432c87ff-1b07-4492-bdc1-f80221cb77b1/駿河湾産桜えび入りクリーム
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2022/9/13,,点心セット,,360,,本登録,通常レシピ,マイレシピ,ガロニ１,和え物・酢の物,野菜,その他,その他,,,和,,,0,462.942,12.516,31.342,32.519,2.972,,,,,,○,,○,,○,,,CTM/attachment/201604131743521f554cda2-f0a2-4c37-a501-7fb0e89370ec/92222222-14
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2022/9/14,,さばの唐揚げサラダ仕立て,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,酢・ドレ,その他,秋,,和,,設定なし,0,363.495,14.504,28.492,8.88,1.483,,,,,,,,○,,,,,CTM/attachment/2016040413354127550a51ca7-d0f0-43ad-b59b-3be3c8055180/さば黒酢
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2022/9/15,,イワシの梅しそフライ,,360,,本登録,通常レシピ,本部レシピ,魚メイン１,揚物,魚,醤油,その他,,,設定なし,,設定なし,0,417.34,18.34,25.76,25.62,2.24,,,,,,,,○,,,,,
