事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2022/11/28,,完熟トマトとベーコンのラタトゥイユ風コロッケ,,200,,本登録,通常レシピ,マイレシピ,その他１,その他,その他,,,,,,,,,254.1,4,16.9,20.4,0.8,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2022/11/29,,鶏むね肉の黒酢あんからめ,,200,,本登録,通常レシピ,マイレシピ,その他１,和え物・酢の物,肉（鶏）,酢・ドレ,,,,,,,,140.86,17.071,4.76,8.849,0.771,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2022/11/30,,豆腐ハンバーグ,,200,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,豆・豆製品,設定なし,その他,,,和,,エコ,,180.343,11.245,12.761,4.433,2.314,,,,,,,,○,,,○,,CTM/attachment/20160421181518293be697416-e542-4fac-b7d4-681d8fede67e/19000000-99
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2022/12/1,,照り焼きつくね,,200,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（鶏）,醤油,,,設定なし,和,,設定なし,,180.135,7.724,9.928,14.834,1.378,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2022/12/2,,ベーコンとポテトのソテー,,200,,本登録,通常レシピ,マイレシピ,その他１,炒物,肉（その他）,,,,,,,,,216.08,4.206,15.546,14.636,0.753,,,,,,,,,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2022/11/28,,玉子ロール,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,,,,,,,,,88.2,5.21,3.8,8.42,0.99,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2022/11/29,,スクランブルエッグ,,200,,本登録,通常レシピ,マイレシピ,その他１,炒物,卵・卵製品,,,,,洋,,設定なし,,193.52,9.536,13.308,8.892,1.364,,,,,,,,,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2022/11/30,,温泉玉子,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,,,,,,143.22,11.997,9.579,0.279,0.279,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2022/12/1,,野菜オムレツ,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,設定なし,洋,,設定なし,,149.78,8.066,11.246,3.776,0.634,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2022/12/2,,千草卵焼,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,設定なし,洋,,設定なし,,152.63,9.081,11.78,2.111,0.754,,,,,,,,,,○,,,
