事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2022/12/26,,コーンコロッケ,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,いも類（こんにゃく含む）,その他,その他,,,洋,,,,251.1,4.4,12.4,29.9,0.5,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2022/12/26,,目玉焼き,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,卵・卵製品,,,,,,,設定なし,,159,12.2,11.2,0.3,0.35,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2022/12/26,,タンドリーチキン,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,その他,カレー,,設定なし,その他,,設定なし,,213.988,18.262,15.4,1.813,0.866,,,,,,,,,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2022/12/27,,じゃが芋の煮物,,200,,本登録,通常レシピ,マイレシピ,その他２,煮物,いも類（こんにゃく含む）,その他,その他,,,和,,,,197.1,2.613,5.159,36.422,1.96,,,,,,,,○,,,,,CTM/attachment/20160417203901921815358b1-7ce6-4162-9c2d-2db595b92776/02222222-69
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2022/12/28,,エビマヨネーズ風コロッケ,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,加工野菜製品,,,,,,,,,278.1,3.9,18.6,22.7,0.8,,,,,,○,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/12/26,,豚カツ,,360,,本登録,通常レシピ,全社レシピ,その他１,揚物,肉（豚）,その他,その他,,,洋,,,,333.72,14.04,18.72,25.44,1.08,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/12/27,,煮込みハンバーグ,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,煮物,肉（その他）,デミグラス,その他,,,洋,,,,426.885,17.627,23.294,34.328,4.155,,,,,,,,○,,○,○,,CTM/attachment/20160414164422776411e3c70-7383-4413-b209-37f23133741a/02030021-11
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2022/12/28,,鶏肉の塩こうじ天ぷら,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,塩,その他,,,設定なし,,,,426.664,21.706,27.3,23.472,2.414,,,,,,,,○,,,,,CTM/attachment/2020051913531113980a53598-692b-41e5-a367-89beb9e9a1b6/IMG_0005
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2022/12/26,,白身魚（ホキ）のカレームニエル,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,その他,カレー,,,洋,,設定なし,,131.837,16.451,4.058,6.775,0.851,,,,,,,,○,,,,,CTM/attachment/2016040814021018785f15f43-817b-40e8-83dd-0ea2cf78d104/03222222-33
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2022/12/27,,鮭の磯辺揚げおろしポン酢,,360,,本登録,通常レシピ,全社レシピ,魚メイン１,揚物,魚,酢・ドレ,その他,秋,,和,,設定なし,,362.175,20.497,17.564,28.249,2.429,,,,,,○,○,○,,,,,CTM/attachment/20160404102218136074d835a-e6de-4e37-9aa6-022831fca46c/おろしポン酢
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2022/12/28,,白身魚（ホキ）のふわふわエッグ焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,ケチャップ・トマト,その他,,,,,,,348.632,21.85,19.222,18.519,1.715,,,,,,,,○,,○,○,,CTM/attachment/201701171106418469b7d0c01-f22e-4210-a4e5-e50325ee26e6/_MG_5848
1140-00,豊橋技術科学大学 食堂,昼食,丼,2022/12/26,,ジャンバラヤ,,300,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,加工ミンチ製品,その他,ピリ辛,,設定なし,その他,,設定なし,,544.263,16.98,12.709,88.692,2.078,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ラーメン,2022/12/26,,【横浜大飯店監修】五目旨味あんかけ麺,,300,,本登録,通常レシピ,全社レシピ,中華麺,麺類,魚以外の魚介・練り製品,,,,,,,,,643.215,28.223,18.288,91.735,10.095,,,,,,○,,○,,,,,CTM/attachment/2022092518375145a4d12644-9451-4fe0-a994-fe9b53635208/IMG_0241
1140-00,豊橋技術科学大学 食堂,昼食,ラーメン,2022/12/27,,豚骨チャーシュー麺,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,肉（豚）,その他,その他,,,中華,,,,422.15,37.525,14.24,65.7,7.345,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ラーメン,2022/12/28,,きつねそば,,300,,本登録,通常レシピ,全社レシピ,和麺,麺類,豆・豆製品,その他,その他,,,和,,,,427.5,19.425,6.613,72.714,6.485,,,,,,,,○,○,○,○,,CTM/attachment/201604081458073595ae2485b-96f9-4310-ac43-1dbfbdc79c48/きつね１
1140-00,豊橋技術科学大学 食堂,昼食,小鉢①,2022/12/26,,トマトとアスパラと玉子の炒め物,,1,,本登録,通常レシピ,全社レシピ,温小鉢,炒物,野菜,塩,その他,,,中華,,テーマ別健康メニュー,0,208.485,7.178,17.241,5.456,0.616,,,,,,,,,,○,,,CTM/attachment/20160215172038978ee2b8707-5d32-4e25-b941-828ba262d43b/00140001-3
1140-00,豊橋技術科学大学 食堂,昼食,小鉢①,2022/12/27,,白菜とハムのコンソメ煮,,1,,本登録,通常レシピ,マイレシピ,その他２,煮物,野菜,設定なし,その他,冬,,和,,おすすめ旬,0,36.918,3.708,0.679,4.746,0.63,,,,,,,,○,,○,○,,CTM/attachment/20160201102513413b105c120-e4d6-4d3d-b76a-bf005ecab03d/00130023-21
1140-00,豊橋技術科学大学 食堂,昼食,小鉢①,2022/12/28,,焼きうどん,,1,,本登録,通常レシピ,マイレシピ,その他２,炒物,加工ミンチ製品,醤油,その他,,,和,,設定なし,0,147.911,4.506,4.656,20.999,1.001,,,,,,,,○,,,,,CTM/attachment/201610071717463376b2e3300-8b29-4a88-b9b8-1ca206abaf23/325
1140-00,豊橋技術科学大学 食堂,昼食,小鉢②,2022/12/26,,もやしときゅうりのナムル,,1,,本登録,通常レシピ,マイレシピ,その他２,和え物・酢の物,野菜,設定なし,,,,韓国,,設定なし,0,48.448,1.89,3.199,4.145,0.473,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,小鉢②,2022/12/27,,エビミックスフライ,,1,,本登録,通常レシピ,マイレシピ,その他１,揚物,魚以外の魚介・練り製品,その他,その他,,,洋,,,0,255.26,8.5,13.5,23.4,1.2,,,,,,○,,○,,○,○,,CTM/attachment/20170208180437538614530bf-b816-4c89-ae15-98cfefb6b692/fbcreate_m20040-c
1140-00,豊橋技術科学大学 食堂,昼食,小鉢②,2022/12/28,,まいたけとじゃが芋の炒め物,,1,,本登録,通常レシピ,マイレシピ,温小鉢,炒物,いも類（こんにゃく含む）,その他,その他,秋,,中華,,,0,100.941,2.701,4.205,13.983,1.065,,,,,,,,○,,○,,,CTM/attachment/201604240907492090437335e-87bd-41f1-9353-d28f8bd9de29/00140035-4
1140-00,豊橋技術科学大学 食堂,昼食,小鉢③,2022/12/26,,ほうれん草とベーコンのサラダ,,1,,本登録,通常レシピ,マイレシピ,サラダ,サラダ,野菜,その他,その他,冬,,洋,,設定なし,0,79.8,4,5.64,4.14,0.36,,,,,,,,,,,○,,CTM/attachment/20160412180022580827087a5-237e-41aa-8a5c-58978da5cb24/09010002-2
1140-00,豊橋技術科学大学 食堂,昼食,小鉢③,2022/12/27,,春雨サラダ,,1,,本登録,通常レシピ,マイレシピ,その他２,サラダ,加工ミンチ製品,酢・ドレ,その他,,設定なし,設定なし,,設定なし,0,102.215,1.745,2.089,19.343,0.934,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,小鉢③,2022/12/28,,カニ蒲鉾とキャベツの梅サラダ,,1,,本登録,通常レシピ,マイレシピ,サラダ,サラダ,野菜,酢・ドレ,その他,,,その他,,設定なし,0,120.05,3.4,8.252,9.547,1.292,,,,,,○,○,○,,○,○,,CTM/attachment/20160421172402479beceaa49-58c2-411f-80b2-028f8d86ac1d/09150001-1
1140-00,豊橋技術科学大学 食堂,昼食,小鉢④,2022/12/26,,タンドリーチキン,,1,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,その他,カレー,,設定なし,その他,,設定なし,,213.988,18.262,15.4,1.813,0.866,,,,,,,,,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,小鉢④,2022/12/27,,じゃが芋の煮物,,1,,本登録,通常レシピ,マイレシピ,その他２,煮物,いも類（こんにゃく含む）,その他,その他,,,和,,,,197.1,2.613,5.159,36.422,1.96,,,,,,,,○,,,,,CTM/attachment/20160417203901921815358b1-7ce6-4162-9c2d-2db595b92776/02222222-69
1140-00,豊橋技術科学大学 食堂,昼食,小鉢④,2022/12/28,,エビマヨネーズ風コロッケ,,1,,本登録,通常レシピ,マイレシピ,その他１,揚物,加工野菜製品,,,,,,,,,278.1,3.9,18.6,22.7,0.8,,,,,,○,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,夕食,定食A,2022/12/26,,ケイジャンチキン,,360,,本登録,通常レシピ,マイレシピ,肉メイン２,丼物・ごはんもの,肉（鶏）,醤油,その他,,設定なし,設定なし,,フェア,0,239.194,17.351,14.268,11.549,1.289,,,,,,,,○,,,,,CTM/attachment/2016012113142919463b166a5-05d2-4ef3-a231-a7be72ed58e1/00100043-6
1140-00,豊橋技術科学大学 食堂,夕食,定食A,2022/12/27,,鯖の辛煮,,360,,本登録,通常レシピ,全社レシピ,魚メイン１,煮物,魚,設定なし,ピリ辛,秋,,和,,設定なし,0,389.733,18.682,27.004,13.847,3.315,,,,,,,,○,,,,,CTM/attachment/2016012816295568a83bb9f-828e-4cf6-8ff0-e9c6dd3657c8/00130006-7
1140-00,豊橋技術科学大学 食堂,夕食,定食A,2022/12/28,,キャベツたっぷりメンチカツ,,360,,本登録,通常レシピ,全社レシピ,その他１,揚物,肉（その他）,その他,その他,,設定なし,和,,設定なし,0,249.135,7.565,17.085,15.81,0.765,,,,,,,,○,,○,○,,CTM/attachment/20160408134754910f03cdbeb-864a-4462-9518-ca2a24c7d790/01111111-68
1140-00,豊橋技術科学大学 食堂,夕食,ラーメン,2022/12/26,,【横浜大飯店監修】五目旨味あんかけ麺,,360,,本登録,通常レシピ,全社レシピ,中華麺,麺類,魚以外の魚介・練り製品,,,,,,,,0,643.215,28.223,18.288,91.735,10.095,,,,,,○,,○,,,,,CTM/attachment/2022092518375145a4d12644-9451-4fe0-a994-fe9b53635208/IMG_0241
1140-00,豊橋技術科学大学 食堂,夕食,ラーメン,2022/12/27,,豚骨チャーシュー麺,,360,,本登録,通常レシピ,マイレシピ,中華麺,麺類,肉（豚）,その他,その他,,,中華,,,0,422.15,37.525,14.24,65.7,7.345,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,夕食,ラーメン,2022/12/28,,きつねそば,,360,,本登録,通常レシピ,全社レシピ,和麺,麺類,豆・豆製品,その他,その他,,,和,,,0,427.5,19.425,6.613,72.714,6.485,,,,,,,,○,○,○,○,,CTM/attachment/201604081458073595ae2485b-96f9-4310-ac43-1dbfbdc79c48/きつね１
