事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/1/6,,野菜コロッケ,,200,,本登録,通常レシピ,マイレシピ,温小鉢,揚物,いも類（こんにゃく含む）,,,,,和,,設定なし,,251.1,3.8,12.1,31.5,0.9,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/1/6,,スクランブルエッグ,,200,,本登録,通常レシピ,マイレシピ,その他１,炒物,卵・卵製品,,,,,洋,,設定なし,,193.52,9.536,13.308,8.892,1.364,,,,,,,,,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/1/4,,ホタテ風味カツ,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,魚以外の魚介・練り製品,設定なし,,,,,,,,202.21,7.2,8.6,23.2,1.2,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/1/5,,白身魚（ホキ）のつけ焼き,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,塩,香草・しそ,,,洋,,設定なし,,124.45,13.915,6.065,2.795,1.092,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/1/6,,若鶏の塩焼,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,塩,その他,,,設定なし,,設定なし,,232.26,15.426,17.822,3.684,0.952,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/1/4,,チーズハンバーグ,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（その他）,マヨネーズ,チーズ,,,和,,設定なし,,432.807,17.895,32.25,16.944,1.656,,,,,,,,○,,○,○,,CTM/attachment/2016012813585283916795d07-6f55-4c1e-9674-ffe61ddf6971/00110001-4
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/1/5,,春雨豚キムチ,,360,,本登録,通常レシピ,マイレシピ,冷小鉢,炒物,肉（豚）,設定なし,ピリ辛,,,韓国,,設定なし,0,338.968,18.235,25.9,4.508,1.53,,,,,,,,○,,,,,CTM/attachment/2016012819235345178201a6b-367e-42b7-9fbf-cf5d0a58f2aa/00130019-24
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/1/6,,唐揚げ味噌ジンジャーソースかけ,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,揚物,肉（鶏）,,,,,,,,,406.33,22.103,29.515,14.142,2.706,,,,,,,,○,,,,,CTM/attachment/202210271422153068a1cf692-3b18-482e-b5d1-7fbbb4af18eb/IMG_0083
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/1/7,,鶏肉のスタミナ焼き,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,焼物,肉（鶏）,味噌,にんにく,,,和,,設定なし,,312.5,18.025,24.955,5.66,2.062,,,,,,,,○,,,,,CTM/attachment/20160419172801408c9416707-2613-4202-8687-b36e45afe623/03020155-4
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/1/8,,大きなメンチカツ,,360,,本登録,通常レシピ,マイレシピ,その他２,揚物,肉（その他）,,,,設定なし,設定なし,,設定なし,,346.61,10.89,25.41,17.93,1.1,,,,,,,,○,,○,○,,
