事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/2/13,,小松菜ソテー,,200,,本登録,通常レシピ,マイレシピ,温小鉢,焼物,野菜,,,,,,,,,131.626,3.806,10.162,8.267,0.652,,,,,,,,,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/2/14,,ホタテ風味カツ,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,魚以外の魚介・練り製品,設定なし,,,,,,,,202.21,7.2,8.6,23.2,1.2,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/2/15,,キャベツとベーコンのソテー,,200,,本登録,通常レシピ,マイレシピ,その他２,炒物,野菜,その他,その他,春,,中華,,設定なし,,295.59,9.143,23.084,13.224,1.452,,,,,,,,○,,○,○,,CTM/attachment/20160411110728719a8ef655f-40ba-440c-93dc-67ca4153de04/04010034-1
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/2/16,,ささみとブロッコリー,,200,,本登録,通常レシピ,マイレシピ,その他１,和え物・酢の物,野菜,酢・ドレ,,,,洋,,設定なし,,60.645,6.934,1.303,6.254,0.428,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/2/17,,法蓮草のピーナッツ粉和え,,200,,本登録,通常レシピ,マイレシピ,冷小鉢,和え物・酢の物,野菜,醤油,その他,冬,,和,,設定なし,,69.15,5.023,2.69,8.501,0.99,,,,,,,,○,,,,○,CTM/attachment/20160421181911176172e68b9-d443-4592-bf4e-0c2a1adb2018/18333334-5
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/2/13,,ミートオムレツ,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,,,,,洋,,,,71.4,5.94,3.08,5.26,0.86,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/2/14,,目玉焼き,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,卵・卵製品,,,,,,,設定なし,,159,12.2,11.2,0.3,0.35,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/2/15,,スクランブルエッグ,,200,,本登録,通常レシピ,マイレシピ,その他１,炒物,卵・卵製品,,,,,洋,,設定なし,,193.52,9.536,13.308,8.892,1.364,,,,,,,,,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/2/16,,オムレツ,,200,,本登録,通常レシピ,マイレシピ,中華麺,麺類,卵・卵製品,,,,,,,,,138.9,6.87,5.5,14.24,1.23,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/2/17,,厚焼き玉子,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,卵・卵製品,設定なし,,,,,,,,104.55,5.595,5.575,8.25,0.675,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/2/13,,若鶏の塩焼,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,塩,その他,,,設定なし,,設定なし,,232.26,15.426,17.822,3.684,0.952,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/2/14,,ツナときのこのパスタ,,200,,本登録,通常レシピ,マイレシピ,中華麺,麺類,海藻・きのこ,,,,,,,,,178.09,6.268,7.44,22.493,0.51,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/2/15,,野菜コロッケ,,200,,本登録,通常レシピ,マイレシピ,温小鉢,揚物,いも類（こんにゃく含む）,,,,,和,,設定なし,,251.1,3.8,12.1,31.5,0.9,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/2/16,,白身魚（ホキ）の味噌焼き,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,魚,マヨネーズ,ピリ辛,春,,,,設定なし,,198.88,18.84,10.09,6.364,1.117,,,,,,,,,,,,,CTM/attachment/20160216100519955e9fdaa82-25cb-42d1-b621-cbcd266390c2/味噌マヨ
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/2/17,,チキンソテー,,200,,本登録,通常レシピ,マイレシピ,その他２,焼物,肉（鶏）,ケチャップ・トマト,その他,夏,設定なし,イタリアン,,設定なし,,128.852,10.516,8.608,2.958,0.671,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/2/13,,鶏のから揚げ山賊ソース,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,揚物,肉（鶏）,その他,ピリ辛,,,中華,,設定なし,,349.029,23.746,17.575,24.623,1.979,,,,,,,,○,,○,,,CTM/attachment/20160405095528198a5ba06f6-5da0-4b24-8529-9c7d6adbe2ca/01020322-37
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/2/14,,豚バラと茄子炒め,,360,,本登録,通常レシピ,マイレシピ,その他２,炒物,加工ミンチ製品,醤油,その他,,,和,,設定なし,,315.954,12.625,28.415,5.316,0.67,,,,,,,,○,,,,,CTM/attachment/201610071717463376b2e3300-8b29-4a88-b9b8-1ca206abaf23/325
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/2/15,,ミックスフライ,,360,,本登録,通常レシピ,マイレシピ,肉メイン２,揚物,魚以外の魚介・練り製品,,,,,,,,,279.3,15.69,12.99,24.73,1.32,,,,,,○,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/2/16,,チキンジンジャーステーキ,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,焼物,肉（鶏）,その他,しょうが,,,和,,設定なし,,218.75,17.7,14.2,6.075,1.7,,,,,,,,○,,,,,CTM/attachment/20170130114515261d580d199-bacd-492d-aa55-77356ef754cb/03020092-2
