事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/2/20,,コーンコロッケ,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,いも類（こんにゃく含む）,その他,その他,,,洋,,,,251.1,4.4,12.4,29.9,0.5,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/2/21,,照り焼きつくね,,200,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（鶏）,醤油,,,設定なし,和,,設定なし,,180.135,7.724,9.928,14.834,1.378,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/2/22,,ウインナーとブロッコリーのペンネ,,200,,本登録,通常レシピ,マイレシピ,中華麺,麺類,野菜,,,,,,,,,111.762,5.719,4.073,15.397,0.409,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/2/24,,切干大根の煮物,,200,,本登録,通常レシピ,マイレシピ,その他１,煮物,野菜,その他,その他,,,和,,,,92.35,3.275,1.405,17.836,1.05,,,,,,,,○,,○,,,CTM/attachment/20160411171010727bd736bc5-0eb2-446f-b102-afa598081247/02222222-7
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/2/20,,目玉焼き,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,卵・卵製品,,,,,,,設定なし,,159,12.2,11.2,0.3,0.35,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/2/21,,ほうれん草オムレツ,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,設定なし,洋,,設定なし,,151.68,9.242,11.868,1.388,0.747,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/2/22,,温泉玉子,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,,,,,,143.22,11.997,9.579,0.279,0.279,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/2/24,,千草卵焼,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,設定なし,洋,,設定なし,,152.63,9.081,11.78,2.111,0.754,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/2/20,,チキンブラックペッパー焼き,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,,,,,,,,,193.77,16.722,14.265,0.673,0.2,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/2/21,,じゃが芋の煮物,,200,,本登録,通常レシピ,マイレシピ,その他２,煮物,いも類（こんにゃく含む）,その他,その他,,,和,,,,197.1,2.613,5.159,36.422,1.96,,,,,,,,○,,,,,CTM/attachment/20160417203901921815358b1-7ce6-4162-9c2d-2db595b92776/02222222-69
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/2/22,,エビミックスフライ,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,魚以外の魚介・練り製品,その他,その他,,,洋,,,,255.26,8.5,13.5,23.4,1.2,,,,,,○,,○,,○,○,,CTM/attachment/20170208180437538614530bf-b816-4c89-ae15-98cfefb6b692/fbcreate_m20040-c
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/2/24,,フライドポテト,,200,,本登録,通常レシピ,マイレシピ,温小鉢,揚物,いも類（こんにゃく含む）,塩,,,,,,,,305.63,3.25,19.5,28.6,0.516,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/2/20,,豚カツ,,360,,本登録,通常レシピ,全社レシピ,その他１,揚物,肉（豚）,その他,その他,,,洋,,,,333.72,14.04,18.72,25.44,1.08,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/2/21,,煮込みハンバーグ,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,煮物,肉（その他）,デミグラス,その他,,,洋,,,,426.885,17.627,23.294,34.328,4.155,,,,,,,,○,,○,○,,CTM/attachment/20160414164422776411e3c70-7383-4413-b209-37f23133741a/02030021-11
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/2/22,,鶏肉の塩こうじ天ぷら,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,塩,その他,,,設定なし,,,,426.664,21.706,27.3,23.472,2.414,,,,,,,,○,,,,,CTM/attachment/2020051913531113980a53598-692b-41e5-a367-89beb9e9a1b6/IMG_0005
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/2/23,,細切り豚肉と野菜の辛味炒め,,360,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,野菜,味噌,ピリ辛,,,設定なし,,フェア,,221.667,12.606,12.328,15.558,2.226,,,,,,,,○,,,,,CTM/attachment/20160714195357251bd37d3a8-24c2-47a1-91df-daf5026289d1/00100061-6
