事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/3/6,,カニクリームコロッケ,,200,,本登録,通常レシピ,マイレシピ,温小鉢,揚物,魚以外の魚介・練り製品,ホワイト・牛乳,,冬,,洋,,設定なし,,208.21,6.2,10.3,22.5,0.7,,,,,,○,○,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/3/7,,タンドリーチキン,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,その他,カレー,,設定なし,その他,,設定なし,,213.988,18.262,15.4,1.813,0.866,,,,,,,,,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/3/8,,白身魚（ホキ）の西京味噌焼き,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,塩,香草・しそ,,,洋,,設定なし,,97.3,16.27,1.47,3.79,1.742,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/3/9,,豆腐野菜煮,,200,,本登録,通常レシピ,マイレシピ,その他１,和え物・酢の物,豆・豆製品,酢・ドレ,その他,,,和,,,,53,3.92,2.18,4.91,1.27,,,,,,,,○,,,,,CTM/attachment/201604191819129867669562c-0944-4356-989e-9f2904ea0f25/06666666-7
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/3/10,,白身魚（タラ）フライ,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,魚,設定なし,,,,設定なし,,設定なし,,274.1,12.8,12,27,0.7,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/3/6,,豚カツ,,360,,本登録,通常レシピ,本部レシピ,肉メイン１,揚物,肉（豚）,その他,その他,,,洋,,,,338.52,13.92,20.4,22.92,1.08,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/3/7,,豚肉のジャーマン焼き,,360,,本登録,通常レシピ,本部レシピ,肉メイン１,焼物,肉（豚）,デミグラス,その他,,,洋,,設定なし,0,417.828,23.4,31.083,13.655,1.399,,,,,,,,○,,○,○,,CTM/attachment/201604191916072089334766d-6a68-4e49-91ee-1361034262f8/03020314-2
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/3/8,,鶏肉の中華衣揚げ,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,その他,その他,,,中華,,設定なし,0,410.816,24.161,22.408,26.861,0.873,,,,,,,,○,,○,,,CTM/attachment/2016040509441411230c2fdcc-2fbd-4daf-9ea5-67162c036200/01020428-2
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/3/9,,照り焼きハンバーグ,,360,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（その他）,醤油,その他,,,洋,,パート事業所向けレシピ,,227.5,14.23,11.76,16.07,1.8,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/3/10,,鶏のから揚げおろしポン酢,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,酢・ドレ,その他,,,和,,設定なし,,357.45,18.565,19.275,27.59,3.62,,,,,,,,○,,,,,CTM/attachment/201604051002309753e64123b-d7b6-4d29-ba74-d71ae7864d38/01020322-18
