事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/3/13,,白身魚（ホキ）のムニエル,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,魚,,,,,洋,,設定なし,,157.782,18.131,5.558,7.308,1.023,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/3/14,,ツナパスタ,,200,,本登録,通常レシピ,マイレシピ,その他１,麺類,加工ミンチ製品,設定なし,その他,,,イタリアン,,設定なし,,142.9,6.79,4.84,18.02,0.18,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/3/15,,ホタテ風味カツ,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,魚以外の魚介・練り製品,設定なし,,,,,,,,202.21,7.2,8.6,23.2,1.2,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/3/16,,野菜コロッケ,,200,,本登録,通常レシピ,マイレシピ,温小鉢,揚物,いも類（こんにゃく含む）,,,,,和,,設定なし,,251.1,3.8,12.1,31.5,0.9,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/3/17,,白身魚（ホキ）の塩焼き,,200,,本登録,通常レシピ,マイレシピ,その他２,焼物,魚,,,,,洋,,設定なし,,93.3,17.195,1.415,2.155,1.365,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/3/13,,豚肉のトマトチーズ焼き,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（鶏）,その他,その他,,設定なし,洋,,設定なし,,189.809,25.137,9.164,4.033,0.502,,,,,,,,,,,○,,CTM/attachment/20200930105614143484dbd3-1f51-400d-bc1b-52950ac9e334/IMG_0039
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/3/14,,チキンカツ,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,加工肉製品,,,,,,,,,294.07,17.025,14.975,21.765,0.725,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/3/15,,ポークチャップ炒め,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（豚）,ケチャップ・トマト,,,設定なし,洋,,設定なし,,379.068,20.236,19.695,27.732,1.986,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/3/16,,油淋鶏,,360,,本登録,通常レシピ,本部レシピ,肉メイン１,揚物,肉（鶏）,酢・ドレ,ピリ辛,,,中華,,,,419.229,22.236,29.623,16.22,2.559,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/3/17,,サラダチキンチリソース,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,蒸物,肉（鶏）,醤油,ごま,,設定なし,中華,,,,235.05,16.765,14.28,10.77,0.875,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/3/13,,さばの竜田揚げおろしソース,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,その他,その他,秋,,和,,設定なし,,467.55,17.77,36.895,11.755,1.075,,,,,,,,○,,,,,CTM/attachment/20160128162332812315b4a15-6f00-4c36-a50e-efc5907a0072/00130006-2
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/3/14,,さわらのソテー地中海風,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,野菜,その他,その他,,,イタリアン,,設定なし,,205.698,17.493,11.981,8.642,0.483,,,,,,,,,,,,,CTM/attachment/201604211756116238003ea31-1449-480c-95f9-c9952194fdff/21000020-5
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/3/15,,タラフライタルタルソース,,360,,本登録,通常レシピ,全社レシピ,魚メイン１,揚物,魚,マヨネーズ,,,,洋,,,,347.82,14.895,22.26,20.73,1.53,,,,,,,,○,,○,,,CTM/attachment/20171005183559882bd167dc0-b9db-47d1-9089-216ae39b59e2/477936574_1
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/3/16,,白身魚(ホキ)のチーズ照り焼き,,360,,本登録,通常レシピ,全社レシピ,魚メイン１,焼物,魚,醤油,チーズ,,,洋,,調理技術勉強会,,203.262,20.521,8.44,10.127,2.492,,,,,,,,○,,,○,,CTM/attachment/201604071910216010293c3b1-6987-4e36-af76-afa47161e45a/03040126-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/3/17,,サケの南蛮漬け,,360,,本登録,通常レシピ,本部レシピ,魚メイン１,揚物,魚,酢・ドレ,その他,,,,,設定なし,0,229.254,20.309,9.021,15.804,1.83,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ラーメン,2023/3/13,,豚汁風うどん,,300,,本登録,通常レシピ,マイレシピ,和麺,汁物,肉（豚）,味噌,その他,,,和,,設定なし,,464.89,15.696,14.938,69.047,3.919,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ラーメン,2023/3/14,,かき揚げそば,,300,,本登録,通常レシピ,全社レシピ,和麺,麺類,加工ミンチ製品,その他,その他,,,和,,,0,490.688,18.255,12.98,75.682,6.542,,,,,,,,○,○,○,,,CTM/attachment/201604081502076557ab37c8f-7536-46a0-88a0-9f3130b3ed2b/かきあげ
1140-00,豊橋技術科学大学 食堂,昼食,ラーメン,2023/3/15,,札幌えび味噌ラーメン,,300,,本登録,通常レシピ,全社レシピ,中華麺,麺類,その他,,,,,,,,0,493.21,27.553,10.024,71.946,4.737,,,,,,○,,○,,○,○,,CTM/attachment/2022120714245157759f5b31c-ed7a-4d5c-88c3-e2562fb801b3/IMG_7206
1140-00,豊橋技術科学大学 食堂,昼食,ラーメン,2023/3/16,,ワンタンメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,肉（その他）,醤油,その他,,設定なし,和,,設定なし,0,441.667,36.128,17.015,68.283,8.208,,,,,,,,○,,○,,,CTM/attachment/20160407163357139146c2018-3be0-4320-b7f1-f2b091ea5fe0/15111144-77
1140-00,豊橋技術科学大学 食堂,昼食,ラーメン,2023/3/17,,鳥取牛骨ラーメン,,300,,本登録,通常レシピ,全社レシピ,中華麺,麺類,その他,,,,,,,,0,487.65,20.363,11.418,74.231,6.392,,,,,,,,○,,,○,,CTM/attachment/202212011741587438587f04a-d0e9-4677-820e-0b1586ba49a6/IMG_7221
1140-00,豊橋技術科学大学 食堂,昼食,小鉢①,2023/3/13,,揚げだし豆腐カニかまあんかけ,,1,,本登録,通常レシピ,マイレシピ,その他２,揚物,豆・豆製品,設定なし,その他,,,和,,,,210.605,7.531,13.546,13.589,1.076,,,,,,○,○,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,小鉢①,2023/3/14,,タイ風チキンソテー,,1,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,その他,カレー,,設定なし,その他,,設定なし,0,198.308,16.982,14.349,1.36,2.02,,,,,,○,○,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,小鉢①,2023/3/15,,うずら卵フライ,,1,,本登録,通常レシピ,マイレシピ,中鉢１,揚物,加工野菜製品,,,,,,,,0,163.168,8.42,8.04,13.2,0.64,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,小鉢①,2023/3/16,,厚揚げの肉味噌かけ,,1,,本登録,通常レシピ,マイレシピ,温小鉢,焼物,豆・豆製品,味噌,,,,和,,設定なし,0,159.516,9.754,9.058,10.503,1.118,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,小鉢①,2023/3/17,,餃子黒酢あん,,1,,本登録,通常レシピ,マイレシピ,その他２,揚物,肉（その他）,設定なし,その他,,,中華,,,0,284.4,9.449,15.843,25.491,1.44,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,小鉢②,2023/3/13,,蒸し南瓜の白ごま和え,,1,,本登録,通常レシピ,マイレシピ,冷小鉢,和え物・酢の物,野菜,その他,ごま,夏,,和,,,,120.943,3.312,3.477,20.671,0.924,,,,,,,,○,,,,,CTM/attachment/20160414192019397bf969cc8-d35b-424d-a561-32f8da16a9b8/06010040-1
1140-00,豊橋技術科学大学 食堂,昼食,小鉢②,2023/3/14,,コールスローサラダ,,1,,本登録,通常レシピ,マイレシピ,サラダ,サラダ,野菜,設定なし,,,,洋,,設定なし,0,126.88,1.94,9.63,9.054,0.816,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,小鉢②,2023/3/15,,白菜とベーコンのみぞれ煮,,1,,本登録,通常レシピ,マイレシピ,その他２,煮物,野菜,設定なし,その他,冬,,和,,おすすめ旬,0,79.15,2.715,5.975,4.63,0.945,,,,,,,,○,,○,○,,CTM/attachment/20160201102513413b105c120-e4d6-4d3d-b76a-bf005ecab03d/00130023-21
1140-00,豊橋技術科学大学 食堂,昼食,小鉢②,2023/3/16,,れんこんと干しえびの塩金平,,1,,本登録,通常レシピ,マイレシピ,温小鉢,炒物,野菜,塩,その他,,設定なし,その他,,,0,57.583,1.627,1.11,11.664,0.437,,,,,,○,○,,,,,,CTM/attachment/2016021610374321464b9d367-ed11-40e2-9d5d-d7727ce1b2bd/00140037-11
1140-00,豊橋技術科学大学 食堂,昼食,小鉢②,2023/3/17,,里芋の煮ころがし,,1,,本登録,通常レシピ,マイレシピ,その他１,煮物,いも類（こんにゃく含む）,その他,その他,秋,,和,,,0,110.31,3.419,0.155,24.791,1.44,,,,,,,,○,,,,,CTM/attachment/201604121432132925cade598-08aa-4ddb-9e67-8f7946f51a6c/02010118-1
1140-00,豊橋技術科学大学 食堂,昼食,小鉢③,2023/3/13,,切干大根の煮物,,1,,本登録,通常レシピ,マイレシピ,その他１,煮物,野菜,その他,その他,,,和,,,,92.35,3.275,1.405,17.836,1.05,,,,,,,,○,,○,,,CTM/attachment/20160411171010727bd736bc5-0eb2-446f-b102-afa598081247/02222222-7
1140-00,豊橋技術科学大学 食堂,昼食,小鉢③,2023/3/14,,エビシューマイ,,1,,本登録,通常レシピ,マイレシピ,その他１,蒸物,肉（その他）,設定なし,その他,,,中華,,,0,132.81,6.204,4.373,17.458,1.121,,,,,,○,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,小鉢③,2023/3/15,,イカマリネのサラダ,,1,,本登録,通常レシピ,全社レシピ,サラダ,サラダ,魚以外の魚介・練り製品,酢・ドレ,その他,,,和,,設定なし,0,165.725,8.129,10.872,8.431,1.31,,,,,,,,○,,,,,CTM/attachment/201604211732122154efa2b8d-9265-401c-a072-f77f452c8db8/09050010-1
1140-00,豊橋技術科学大学 食堂,昼食,小鉢③,2023/3/16,,カニカマ入りポテトサラダ,,1,,本登録,通常レシピ,マイレシピ,その他２,サラダ,いも類（こんにゃく含む）,その他,その他,,,洋,,設定なし,0,138.8,1.97,9.07,13.04,0.463,,,,,,,○,○,,○,,,CTM/attachment/201604051822319289e4d09de-46fc-4afa-9898-af782eb60334/92444444-64
1140-00,豊橋技術科学大学 食堂,昼食,小鉢③,2023/3/17,,ツナサラダ,,1,,本登録,通常レシピ,マイレシピ,サラダ,サラダ,魚,その他,その他,,,洋,,設定なし,0,81.04,5.665,5.397,2.715,0.218,,,,,,,,,,○,,,CTM/attachment/20160421171608436d9add933-6d05-40fd-8fe5-1a9870ae950d/09666666-52
1140-00,豊橋技術科学大学 食堂,昼食,小鉢④,2023/3/13,,白身魚（ホキ）のムニエル,,1,,本登録,通常レシピ,マイレシピ,その他１,焼物,魚,,,,,洋,,設定なし,,157.782,18.131,5.558,7.308,1.023,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,小鉢④,2023/3/14,,ツナパスタ,,1,,本登録,通常レシピ,マイレシピ,その他１,麺類,加工ミンチ製品,設定なし,その他,,,イタリアン,,設定なし,,142.9,6.79,4.84,18.02,0.18,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,小鉢④,2023/3/15,,ホタテ風味カツ,,1,,本登録,通常レシピ,マイレシピ,その他１,揚物,魚以外の魚介・練り製品,設定なし,,,,,,,,202.21,7.2,8.6,23.2,1.2,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,小鉢④,2023/3/16,,野菜コロッケ,,1,,本登録,通常レシピ,マイレシピ,温小鉢,揚物,いも類（こんにゃく含む）,,,,,和,,設定なし,,251.1,3.8,12.1,31.5,0.9,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,小鉢④,2023/3/17,,白身魚（ホキ）の塩焼き,,1,,本登録,通常レシピ,マイレシピ,その他２,焼物,魚,,,,,洋,,設定なし,,93.3,17.195,1.415,2.155,1.365,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,夕食,定食A,2023/3/13,,鶏のから揚げにんにく醤油ソース,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,酢・ドレ,その他,,,和,,設定なし,,394.853,21.209,33.231,3.21,2.35,,,,,,,,○,,,,,CTM/attachment/201604051002309753e64123b-d7b6-4d29-ba74-d71ae7864d38/01020322-18
1140-00,豊橋技術科学大学 食堂,夕食,定食A,2023/3/14,,ホキの香草パン粉焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,塩,香草・しそ,春,,洋,,設定なし,0,304.473,25.765,7.312,31.922,2.326,,,,,,,,○,,○,○,,CTM/attachment/201604120250558383456880-f452-46ae-bda3-e2fe104b0fb9/03040165-6
1140-00,豊橋技術科学大学 食堂,夕食,定食A,2023/3/15,,チキンフリッター,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,揚物,肉（鶏）,その他,その他,,,洋,,設定なし,0,361.785,27.077,11.639,38.636,2.708,,,,,,,,○,,○,,,CTM/attachment/201604041654523354677cf05-0f1d-4afd-9536-5b9322323f10/01020138-3
1140-00,豊橋技術科学大学 食堂,夕食,定食A,2023/3/16,,メバルの煮付け,,360,,本登録,通常レシピ,全社レシピ,魚メイン１,煮物,魚,その他,その他,春,,和,,,0,173.842,20.848,3.73,13.558,2.328,,,,,,,,○,,,,,CTM/attachment/2016040815592968755289d65-fba7-45c3-8fd5-6b754fa6a53d/02040315-6
1140-00,豊橋技術科学大学 食堂,夕食,定食A,2023/3/17,,ポークソテーおろしポン酢,,360,,本登録,通常レシピ,マイレシピ,肉メイン２,焼物,肉（豚）,醤油,その他,,,洋,,,0,305.8,21.223,23.107,4.498,1.426,,,,,,,,○,,,,,
