事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/3/20,,若鶏の塩焼,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,塩,その他,,,設定なし,,設定なし,,232.26,15.426,17.822,3.684,0.952,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/3/22,,じゃが芋のコンソメ煮,,200,,本登録,通常レシピ,マイレシピ,温小鉢,煮物,野菜,その他,その他,夏,設定なし,洋,,テーマ別健康メニュー,0,111.382,2.65,2.326,20.424,0.78,,,,,,,,○,,○,○,,CTM/attachment/20160204164820286a8763aab-26b5-4056-b38d-d257abd7637a/南瓜
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/3/23,,吹きよせ,,200,,本登録,通常レシピ,マイレシピ,その他１,煮物,野菜,その他,その他,,,和,,,0,126.194,5.758,2.66,21.567,2.863,,,,,,,,○,,,,,CTM/attachment/2016041117071164b96d42c5-408c-48b6-94ba-6e23c645d551/02222222-5
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/3/20,,5種のチーズカツ　マヨたまカツ,,360,,本登録,通常レシピ,マイレシピ,中鉢１,揚物,その他,,,,,,,,0,551.12,11.48,37.91,39.74,1.77,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/3/22,,鶏のから揚げ,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,揚物,肉（鶏）,設定なし,,,,設定なし,,設定なし,0,390.177,19.477,26.888,18.605,1.451,,,,,,,,○,,○,,,CTM/attachment/2022022514442117472fb275f-5ba8-4f88-bd60-d186c6cc4d05/IMG_0034
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/3/23,,韓国風甘辛チキン,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,ケチャップ・トマト,ピリ辛,,,韓国,,設定なし,0,409.032,23.095,23.896,26.447,1.623,,,,,,,,○,,,,,CTM/attachment/20170711093532153a2a050aa-a75e-4bce-9e25-e1bc444ec705/_MG_8820
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/3/20,,ブリの照り焼き,,360,,本登録,通常レシピ,全社レシピ,魚メイン１,焼物,魚,醤油,その他,冬,,和,,調理技術勉強会,0,283.78,22.617,17.632,5.545,1.915,,,,,,,,○,,,,,CTM/attachment/2016021609591816ee238a70-26a6-4b39-b597-a9c4dc852854/ブリ照り
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/3/22,,ホキのコーンマヨ焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン２,焼物,魚,マヨネーズ,その他,,,和,,設定なし,0,289.81,15.433,22.299,6.353,0.817,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/3/23,,イワシの梅しそフライ,,360,,本登録,通常レシピ,本部レシピ,魚メイン１,揚物,魚,醤油,その他,,,設定なし,,設定なし,0,417.34,18.34,25.76,25.62,2.24,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ラーメン,2023/3/20,,担々麺,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,肉（豚）,設定なし,ピリ辛,,,中華,,設定なし,0,618.756,20.52,27.314,70.606,5.92,,,,,,○,,○,,○,,○,CTM/attachment/2017020609202333624740f71-2ebf-4f8b-a9e2-da09a2b8bacf/15111144-17
1140-00,豊橋技術科学大学 食堂,昼食,ラーメン,2023/3/22,,新潟風生姜醤油ラーメン,,300,,本登録,通常レシピ,全社レシピ,中華麺,麺類,その他,,,,,,,,0,446.45,16.353,12.208,66.756,5.527,,,,,,,,○,,○,○,,CTM/attachment/202212071334563599ab6433a-0207-45d0-adf5-2fd2a93aaec2/IMG_7236
