事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/7/31,,ソーセージ,,,,本登録,通常レシピ,マイレシピ,その他１,蒸物,肉（豚）,,,,,,,設定なし,,151.77,8.151,10.44,6.402,1.239,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/7/31,,ゆで玉子,,,,本登録,通常レシピ,マイレシピ,その他１,その他,卵・卵製品,,,,,,,,,90.6,7.38,6.18,0.18,1.231,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/7/31,,サラダ,,,,本登録,通常レシピ,マイレシピ,ガロニ１,サラダ,野菜,,,,,,,,,10.15,0.555,0.09,2.545,0.005,,,,,,,,,,,,,CTM/attachment/202010010937148516ba918df-ae44-4830-9730-c05b06b6d22d/キャベツ・くしトマト・ブロッコリー
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/7/31,,酢鶏,,,,本登録,通常レシピ,マイレシピ,肉メイン１,蒸物,肉（鶏）,設定なし,その他,春,設定なし,中華,,テーマ別健康メニュー,,340.125,30.485,13.306,25.913,1.8,,,,,,,,○,,,,,CTM/attachment/20160216103951658cde2090c-3e05-4679-aa54-c674defc391f/00140041-10
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/7/31,,ホキの葱味噌焼き,,,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,味噌,その他,,,,,,,111.047,15.514,1.865,6.927,2.126,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2023/7/31,,とろろ豚丼,,,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,肉（その他）,醤油,その他,,,和,,,,646.801,21.132,21.763,88.356,1.438,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2023/7/31,,カレーラーメン,,,,本登録,通常レシピ,マイレシピ,中華麺,麺類,加工ミンチ製品,その他,カレー,,,中華,,,,658.367,41.099,32.199,77.457,7.969,,,,,,,,○,,○,○,,CTM/attachment/201604071612478061e0c01b5-af07-4e9b-9eaa-6beda8027a35/15111144-37
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2023/7/31,,南瓜と糸こんの煮物,,,,本登録,通常レシピ,マイレシピ,その他２,煮物,野菜,,,,,,,,,50.26,1.504,0.171,12.794,0.715,,,,,,,,○,,,,,CTM/attachment/2016070415121725595194684-510c-4add-b1b8-c721f47497a5/南瓜と糸こんの煮物
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2023/7/31,,お好み焼き風,,,,本登録,通常レシピ,マイレシピ,中鉢１,焼物,加工ミンチ製品,その他,その他,,,和,,,,213.8,5.942,9.12,26.328,1.092,,,,,,○,○,○,,○,,,CTM/attachment/201604081047239642d3b5bb-2322-4ec1-afed-57980e1340be/03020034-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2023/7/31,,カニカマコールスロー,,,,本登録,通常レシピ,マイレシピ,サラダ,サラダ,野菜,設定なし,,,,洋,,設定なし,,121.9,2.067,9.214,8.916,0.84,,,,,,,○,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2023/7/31,,フルーツヨーグルト,,,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,設定なし,その他,,,洋,,設定なし,,45.71,1.335,0.965,8.598,0.03,,,,,,,,,,,○,,
1140-00,豊橋技術科学大学 食堂,夕食,定食,2023/7/31,,バサのしそ天ぷら,,,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,その他,その他,,,和,,,,277.052,18.065,9.899,27.164,1.297,,,,,,,,○,,,,,CTM/attachment/201604041500589250e4ae4d4-bfcd-4bdb-b35d-20de638ad916/ホキ
1140-00,豊橋技術科学大学 食堂,夕食,バラエティ,2023/7/31,,チキンガーリック丼,,,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,肉（鶏）,醤油,にんにく,,,洋,,,,578.91,20.662,15.425,87.105,2.828,,,,,,,,○,,,,,CTM/attachment/201604211629097384f404943-5828-43c6-bf2f-1c17f9e573a2/10020419-1
