事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/8/17,,ハンバーグ青しそおろしソース,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（その他）,酢・ドレ,香草・しそ,,,和,,設定なし,,168.27,9.097,8.646,12.878,2.399,,,,,,,,○,,○,○,,CTM/attachment/20160421112905586bbf94004-9d1a-4a6b-a969-80780ee18d0b/03030032-2
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/8/18,,油淋鶏,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,酢・ドレ,ピリ辛,,,中華,,,,419.759,22.308,29.623,16.308,2.559,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/8/17,,バサの唐揚げ黒酢あん,,360,,本登録,通常レシピ,マイレシピ,その他５,揚物,魚,酢・ドレ,その他,,,,,設定なし,,184.508,15.617,4.507,19.264,1.83,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/8/18,,アジのソテーバター醤油ソース,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,塩,その他,,,洋,,,,223.715,18.964,13.302,8.264,1.767,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2023/8/17,,冷たい肉うどん,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,肉（豚）,その他,その他,,,中華,,フェア,,540.16,14.985,21.809,69.251,5.275,,,,,,,,○,,,,,CTM/attachment/201607170611263139819f7ee-3bd9-41e0-9f65-55c8a693b579/00100062-4
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2023/8/18,,和風かき玉ラーメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,卵・卵製品,その他,その他,,,和,,設定なし,,414.99,19.184,4.334,75.692,7.311,,,,,,,,○,,○,○,,CTM/attachment/2016040716281130565ee6286-5a6f-4437-b798-2e98a29f3cf5/15111144-59
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2023/8/17,,揚げだし豆腐,,1,,本登録,通常レシピ,マイレシピ,その他２,揚物,豆・豆製品,設定なし,その他,,,和,,,,166.635,5.861,10.562,12.323,0.789,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2023/8/18,,茄子の中華風炒め,,1,,本登録,通常レシピ,マイレシピ,その他５,炒物,肉（豚）,,にんにく,,,中華,,,,93.426,1.548,3.517,15.221,1.22,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2023/8/17,,チンゲン菜と春雨の炒め煮,,1,,本登録,通常レシピ,マイレシピ,温小鉢,煮物,野菜,その他,その他,冬,,中華,,設定なし,,68.003,2.528,3.794,6.406,0.811,,,,,,,,○,,,,,CTM/attachment/201601270932064247053433f-1428-47c8-a849-3ecf55b07e73/小松菜と春雨の炒め煮
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2023/8/18,,うずら卵フライ,,1,,本登録,通常レシピ,マイレシピ,中鉢１,揚物,加工野菜製品,,,,,,,,,162.768,8.42,8.04,13.2,0.64,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2023/8/17,,ひじきのごまツナ和え,,1,,本登録,通常レシピ,マイレシピ,温小鉢,和え物・酢の物,海藻・きのこ,醤油,ごま,,,和,,テーマ別健康メニュー,,81.794,4.3,5.011,7.481,0.941,,,,,,,,○,,,,,CTM/attachment/201602151523549727f6f86ed-6905-481b-9514-67995d3bf8cf/00140031-8
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2023/8/18,,キャベツのおかか和え,,1,,本登録,通常レシピ,マイレシピ,その他５,和え物・酢の物,野菜,醤油,,,,,沖縄,,,17.764,1.488,0.133,3.633,0.391,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2023/8/17,,バナナババロア,,1,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,その他,その他,,設定なし,その他,,設定なし,,54.95,1.295,1.365,9.38,0.175,,,,,,,,,,,○,,CTM/attachment/201604071038095913fe40bd6-f7d9-4632-b1ac-68c82e21a4f3/13111111-82
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2023/8/18,,フルーツ白玉,,1,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,,,,,,,,,101.2,1.16,0.185,23.625,0,,,,,,,,,,,,,
