事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/8/21,,チキンソテー胡麻豆乳ソース,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（鶏）,設定なし,ごま,,設定なし,和,,設定なし,,241.12,24.06,15.706,2.328,1.74,,,,,,,,○,,○,,,CTM/attachment/20160419175442741ec63ed29-9810-4baa-81a8-764dbfbf83ac/03020303-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/8/22,,揚げ肉の和風香味だれ,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（豚）,その他,ごま,,設定なし,中華,,設定なし,,411.917,18.674,30.098,17.396,2.08,,,,,,,,○,,,,,CTM/attachment/20160716221309513ad8080ca-5e66-44e6-9973-a289a0cf386b/01020012-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/8/23,,にんにくたっぷり鶏のから揚げ,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,酢・ドレ,その他,,,その他,,,,373.809,21.286,29.891,5.084,0.994,,,,,,,,○,,○,,,CTM/attachment/20160424085224552c2fee122-ccde-4c9b-8e57-55ee924e3588/78789465-96
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/8/24,,豚肉のねぎ味噌焼き,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（豚）,味噌,,,,和,,設定なし,,360.7,21.922,24.01,10.15,1.046,,,,,,,,,,,,,CTM/attachment/20160412180347621371372ee-e26a-4d98-81a7-6dd0cab9873d/03020077-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/8/25,,揚げ鶏のレモンクリームソース,,360,,本登録,通常レシピ,マイレシピ,肉メイン２,焼物,肉（鶏）,酢・ドレ,その他,,,洋,,,,371.894,22.395,26.595,12.111,1.691,,,,,,,,○,,○,,,CTM/attachment/201607150626127572ca52427-2912-4cf9-a830-55c60336616e/00201609-3
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/8/21,,ホキのフリッターラビゴットソース,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,酢・ドレ,,夏,,,,,,266.675,14.999,18.351,10.466,1.478,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/8/22,,さばの塩麹焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,塩,その他,秋,,和,,設定なし,,319.98,16.028,24.31,7.022,2.082,,,,,,,,,,,,,CTM/attachment/201601281640116375f5c373a-210d-41ef-be31-0f58d384552e/00130006-15
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/8/23,,メルルーサの五目野菜あんかけ,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,設定なし,その他,秋,,和,,設定なし,,94.901,16.855,0.712,6.428,2.421,,,,,,,,○,,,,,CTM/attachment/201604071504322445b2299e1-dedf-45d4-bcc6-34f6e0a6f417/01040133-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/8/24,,アジフライタルタルソース,,360,,本登録,通常レシピ,マイレシピ,その他５,揚物,魚,,その他,,,設定なし,,設定なし,,361.194,14.416,24.417,19.605,1.133,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/8/25,,ホキのムニエルポテトチーズ焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,マヨネーズ,チーズ,秋,,洋,,おすすめ旬,,347.588,18.509,23.665,14.411,1.906,,,,,,,,○,,○,○,,CTM/attachment/2016020216482163246370ee8-be2d-4784-8844-34e4c09ecacb/00130026-13
