事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/12/11,,ソーセージ,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,肉（豚）,,,,,,,設定なし,,151.77,8.151,10.44,6.402,1.239,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/12/12,,大根とがんもの煮物,,200,,本登録,通常レシピ,マイレシピ,その他１,煮物,豆・豆製品,醤油,,,,和,,,,89.76,4.761,4.657,7.896,1.426,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/12/13,,肉味噌キャベツ,,200,,本登録,通常レシピ,マイレシピ,温小鉢,焼物,豆・豆製品,味噌,,,,和,,設定なし,,81.208,4.198,2.874,11.218,1.118,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/12/14,,筑前煮,,200,,本登録,通常レシピ,マイレシピ,その他１,煮物,野菜,その他,その他,,,和,,,,121.836,3.433,4.596,18.434,0.746,,,,,,,,○,,,,,CTM/attachment/20160405190116519f4776667-ccc8-4d7f-8f0d-06d49b035f0a/02222222-14
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2023/12/15,,竹輪のきんぴら,,200,,本登録,通常レシピ,マイレシピ,その他１,炒物,魚以外の魚介・練り製品,醤油,その他,,,和,,エコ,,77.615,2.837,3.033,10.331,1.013,,,,,,,,○,,○,,,CTM/attachment/20160421180000671f4fe4fe6-9ca7-4321-8b44-5bd6871cf202/19000000-35
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/12/11,,ゆで玉子,,200,,本登録,通常レシピ,マイレシピ,その他１,その他,卵・卵製品,,,,,,,,,90.6,7.38,6.18,0.18,1.231,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/12/12,,ミートオムレツ,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,,,,,洋,,,,70.77,5.331,3.04,5.462,0.899,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/12/13,,スクランブルエッグ,,200,,本登録,通常レシピ,マイレシピ,その他１,炒物,卵・卵製品,,,,,洋,,設定なし,,113.97,5.691,7.983,4.842,0.759,,,,,,,,,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/12/14,,厚焼玉子,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,卵・卵製品,設定なし,,,,,,,,122.8,5.02,4.8,14.82,2.02,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2023/12/15,,千草卵焼,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,設定なし,洋,,設定なし,,78.17,6.151,4.685,2.352,0.832,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/12/11,,サラダ,,200,,本登録,通常レシピ,マイレシピ,ガロニ１,サラダ,野菜,,,,,,,,,10.15,0.555,0.09,2.545,0.005,,,,,,,,,,,,,CTM/attachment/202010010937148516ba918df-ae44-4830-9730-c05b06b6d22d/キャベツ・くしトマト・ブロッコリー
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/12/12,,ホタテ風味カツ,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,魚以外の魚介・練り製品,設定なし,,,,,,,,114.04,2.88,7.04,9.28,0.48,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/12/13,,白身魚フライ（タラ）,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,魚,設定なし,,,,設定なし,,設定なし,,164.46,7.68,7.2,16.2,0.42,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/12/14,,チキンソテー,,200,,本登録,通常レシピ,マイレシピ,その他２,焼物,肉（鶏）,ケチャップ・トマト,その他,夏,設定なし,イタリアン,,設定なし,,120.832,10.386,8.588,1.638,0.671,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2023/12/15,,ホキのバジル焼き,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,魚,,,,,,,,,86.65,10.43,4.595,0.245,0.92,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/12/11,,チキンソテー胡麻豆乳ソース,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（鶏）,設定なし,ごま,,設定なし,和,,設定なし,,241.12,24.06,15.706,2.328,1.74,,,,,,,,○,,○,,,CTM/attachment/20160419175442741ec63ed29-9810-4baa-81a8-764dbfbf83ac/03020303-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/12/12,,揚げ肉の和風香味だれ,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（豚）,その他,ごま,,設定なし,中華,,設定なし,,411.917,18.674,30.098,17.396,2.08,,,,,,,,○,,,,,CTM/attachment/20160716221309513ad8080ca-5e66-44e6-9973-a289a0cf386b/01020012-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/12/13,,にんにくたっぷり鶏のから揚げ,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,酢・ドレ,その他,,,その他,,,,373.809,21.286,29.891,5.084,0.994,,,,,,,,○,,○,,,CTM/attachment/20160424085224552c2fee122-ccde-4c9b-8e57-55ee924e3588/78789465-96
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/12/14,,豚肉のねぎ味噌焼き,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（豚）,味噌,,,,和,,設定なし,,360.7,21.922,24.01,10.15,1.046,,,,,,,,,,,,,CTM/attachment/20160412180347621371372ee-e26a-4d98-81a7-6dd0cab9873d/03020077-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/12/15,,揚げ鶏のレモンクリームソース,,360,,本登録,通常レシピ,マイレシピ,肉メイン２,焼物,肉（鶏）,酢・ドレ,その他,,,洋,,,,371.894,22.395,26.595,12.111,1.691,,,,,,,,○,,○,,,CTM/attachment/201607150626127572ca52427-2912-4cf9-a830-55c60336616e/00201609-3
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/12/16,,照り焼きハンバーグ,,360,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（その他）,醤油,その他,,,洋,,パート事業所向けレシピ,,227.5,14.23,11.76,16.07,1.8,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/12/17,,鶏天ポン酢あん,,360,,本登録,通常レシピ,マイレシピ,その他５,揚物,肉（鶏）,その他,ごま,,,和,大分,,,450.1,23.396,29.59,23.053,2.006,,,,,,,,○,,,,,CTM/attachment/20160119144342896c3fd82b9-0a0f-457c-825b-2c093bbfdfd7/00100038-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/12/11,,◆F◆白身魚のフライ　パセリバターソース,,360,,本登録,通常レシピ,全社レシピ,魚メイン１,揚物,魚,その他,香草・しそ,,,,,,,325.969,19.562,19.684,17.929,1.596,,,,,,,,○,,○,○,,CTM/attachment/20230926142112698a38e82ae-0b6e-4640-a61b-51161a562f00/白身魚のフライ　パセリバターソース
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/12/12,,さばの塩麹焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,塩,その他,秋,,和,,設定なし,,319.98,16.028,24.31,7.022,2.082,,,,,,,,,,,,,CTM/attachment/201601281640116375f5c373a-210d-41ef-be31-0f58d384552e/00130006-15
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/12/13,,メルルーサの五目野菜あんかけ,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,設定なし,その他,秋,,和,,設定なし,,94.901,16.855,0.712,6.428,2.421,,,,,,,,○,,,,,CTM/attachment/201604071504322445b2299e1-dedf-45d4-bcc6-34f6e0a6f417/01040133-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/12/14,,アジフライタルタルソース,,360,,本登録,通常レシピ,マイレシピ,その他５,揚物,魚,,その他,,,設定なし,,設定なし,,361.194,14.416,24.417,19.605,1.133,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/12/15,,ホキのムニエルポテトチーズ焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,マヨネーズ,チーズ,秋,,洋,,おすすめ旬,,347.588,18.509,23.665,14.411,1.906,,,,,,,,○,,○,○,,CTM/attachment/2016020216482163246370ee8-be2d-4784-8844-34e4c09ecacb/00130026-13
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/12/16,,さばの竜田揚げ,,360,,本登録,通常レシピ,全社レシピ,魚メイン１,揚物,魚,その他,その他,秋,,和,,設定なし,,459.45,17.605,36.83,9.9,1.075,,,,,,,,○,,,,,CTM/attachment/20160128162332812315b4a15-6f00-4c36-a50e-efc5907a0072/00130006-2
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/12/17,,バサの香味焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,設定なし,その他,,設定なし,設定なし,,テーマ別健康メニュー,,200.04,18.865,10.318,5.54,1.461,,,,,,,,○,,,,,CTM/attachment/2016021610473254433935929-3678-498e-9466-1a3028dc797a/00140041-16
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2023/12/11,,どて丼,,300,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,肉（豚）,味噌,その他,,,和,,,,521.41,15.627,8.383,93.341,1.636,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2023/12/12,,名物TUT丼,,300,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,肉（豚）,醤油,その他,,設定なし,和,,,,867.645,29.972,21.818,130.383,3.169,,,,,,,,○,,○,○,,
