事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/12/25,,チキンのピザ焼き,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（鶏）,ケチャップ・トマト,チーズ,,,洋,,,,330.651,25.149,24.154,4.534,0.952,,,,,,,,,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/12/26,,豚カツ,,360,,本登録,通常レシピ,全社レシピ,その他１,揚物,肉（豚）,その他,その他,,,洋,,,,333.72,14.04,18.72,25.44,1.08,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/12/27,,鶏肉の塩だれ揚げ,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,塩,その他,,,和,,,,386.561,20.289,32.331,5.404,1.359,,,,,,,,○,,,,,CTM/attachment/2016041913402642b3d1f3bb-9dd4-4bfa-b298-4be7953db3b1/03020104-2
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2023/12/28,,豚生姜焼きのせ豆腐,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,豆・豆製品,醤油,しょうが,,,中華,,設定なし,,378.815,24.883,25.502,13.963,1.465,,,,,,,,○,,,,,CTM/attachment/20160408115428771dce625f1-a22b-4d81-95d1-3fe6b66c685c/03070028-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/12/25,,エビカツタルタルソース,,360,,本登録,通常レシピ,本部レシピ,魚メイン１,揚物,魚以外の魚介・練り製品,その他,その他,,,洋,,,,343.09,10.18,23.99,21.79,1.52,,,,,,○,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/12/26,,さわらの胡麻焼き,,360,,本登録,通常レシピ,本部レシピ,魚メイン１,焼物,魚,設定なし,ごま,,,,,,,270.8,20.06,13.85,15.405,1.555,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/12/27,,バサのムニエルトマトクリームソース,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,ケチャップ・トマト,,,,洋,,,,335.844,20.853,21.18,17.271,1.115,,,,,,,,○,,,○,,CTM/attachment/20210804115711184eb315d10-3323-48ca-a89f-6b873d199f38/タラのムニエルトマトクリームソース
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2023/12/28,,ホキの天ぷら甘酢あんかけ,,360,,本登録,通常レシピ,マイレシピ,魚メイン２,焼物,魚,その他,にんにく,夏,設定なし,洋,,設定なし,,379.8,20.92,12.098,45.804,1.749,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2023/12/25,,四川風かき玉ラーメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,味噌,ピリ辛,,,中華,,パート事業所向けレシピ,,567.203,23.469,18.046,76.986,6.794,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2023/12/26,,醤油ラーメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,醤油,その他,,,中華,,,,381.55,16.03,4.54,70.7,6.51,,,,,,,,○,,○,,,CTM/attachment/20160407154844554007a038d-f638-4fb7-be1c-a49635deab4e/15111144-2
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2023/12/27,,サンマー麺,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,醤油,その他,,設定なし,設定なし,神奈川,設定なし,,515.699,21.128,17.812,70.786,7.032,,,,,,,,○,,,,,CTM/attachment/201604071627301682fbdb667-7d3b-42eb-bc0f-1ff38dbb1677/15111144-56
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2023/12/28,,かき揚げそば,,300,,本登録,通常レシピ,マイレシピ,和麺,麺類,その他,醤油,その他,,設定なし,,,,,607.867,16.92,23.585,81.678,5.521,,,,,,,,○,○,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2023/12/25,,肉詰いなりの煮物,,1,,本登録,通常レシピ,マイレシピ,温小鉢,煮物,肉（その他）,その他,その他,,,和,,,,171.47,6.157,7.778,19.512,2.058,,,,,,,,○,,,,,CTM/attachment/2016041115564685752ecc652-fe30-4a44-b50c-8508946093d0/02130308-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2023/12/26,,揚げ茄子の肉味噌かけ,,1,,本登録,通常レシピ,マイレシピ,温小鉢,煮物,豆・豆製品,味噌,その他,,,和,,,,125.985,6.038,6.554,10.426,1.043,,,,,,,,,,,,,CTM/attachment/2016040814513137678d08940-160b-4ce5-a19f-47d603603038/02010014-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2023/12/27,,ピーマンと厚揚げのケチャップ炒め,,1,,本登録,通常レシピ,マイレシピ,温小鉢,炒物,野菜,ケチャップ・トマト,その他,,設定なし,和,,設定なし,,133.98,5.776,10.752,4.206,0.615,,,,,,,,○,,,○,,CTM/attachment/20211007164311662aad60e4c-4df8-462a-af1f-93aca7816c26/IMG_0050
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2023/12/28,,カニクリームコロッケ,,1,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（鶏）,ホワイト・牛乳,その他,冬,,洋,,,,203.77,4.34,13.51,15.75,0.49,,,,,,○,○,○,,○,○,,
