事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2024/1/5,,高野豆腐の煮物,,200,,本登録,通常レシピ,マイレシピ,その他２,煮物,豆・豆製品,その他,その他,,,和,,,,92.988,7.171,3.508,8.437,1.221,,,,,,,,○,,,,,CTM/attachment/201604171953233603bc95272-9f58-4019-9298-ab37897d7512/02222222-31
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2024/1/5,,厚焼玉子,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,卵・卵製品,設定なし,,,,,,,,122.8,5.02,4.8,14.82,2.02,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2024/1/5,,ソースチキン,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,その他,その他,,設定なし,洋,,設定なし,,151.8,10.387,8.587,9.042,0.87,,,,,,,,,,,,,CTM/attachment/20160419163747562e0bd14f9-a5b9-41fe-bef4-09cc4558cf2b/ソースチキン
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/1/4,,照り焼きハンバーグ,,360,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（その他）,醤油,その他,,,洋,,パート事業所向けレシピ,,227.5,14.23,11.76,16.07,1.8,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/1/5,,豚肉のスパイシー揚げ,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,設定なし,その他,,,和,,設定なし,,397.16,17.965,29.466,11.382,0.783,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/1/6,,メバルのムニエル,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,酢・ドレ,その他,春,,洋,,調理技術勉強会,,184.48,14.933,11.924,2.904,0.715,,,,,,,,○,,,○,,CTM/attachment/20160407192502753108d1b60-4cd2-4e07-858d-1c52a7c4c216/03040139-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/1/7,,揚げたらの葱ソース,,360,,本登録,通常レシピ,全社レシピ,魚メイン１,揚物,魚,その他,その他,冬,,中華,,設定なし,,208.477,15.622,9.437,13.218,2.682,,,,,,,,○,,,,,CTM/attachment/20160404175424732e1f4f603-8138-44e3-8cc0-55ca475d936b/葱ソース
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/1/4,,シーフードミックスフライ,,360,,本登録,通常レシピ,マイレシピ,肉メイン２,揚物,魚以外の魚介・練り製品,,,,,,,,,385.72,20.46,20.71,29.23,1.59,,,,,,○,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/1/5,,ホキのピカタオーロラソース,,360,,本登録,通常レシピ,マイレシピ,その他１,焼物,魚,その他,その他,,,洋,,調理技術勉強会,,351.557,16.07,29.108,4.828,1.466,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2024/1/4,,年明けうどん,,300,,本登録,通常レシピ,マイレシピ,和麺,麺類,豆・豆製品,その他,その他,,,和,,パート事業所向けレシピ,,364.95,11.7,4.485,69.745,6.385,,,,,,,,○,,,,,CTM/attachment/20160408151442323b8c9aff9-b425-4a2e-98c2-4960de69bbf3/97000087-2
