事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2024/1/15,,ハムカツ,,200,,本登録,通常レシピ,マイレシピ,温小鉢,揚物,肉（その他）,設定なし,その他,,設定なし,,,設定なし,,112.84,3.56,5.44,12.2,0.6,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2024/1/16,,シューマイ,,200,,本登録,通常レシピ,マイレシピ,その他２,蒸物,肉（その他）,設定なし,その他,,,中華,,,,80.22,3.402,3.486,8.778,0.672,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2024/1/17,,厚揚げと野菜の含め煮,,200,,本登録,通常レシピ,マイレシピ,温小鉢,煮物,豆・豆製品,その他,その他,,,和,,,,92.64,4.112,6.454,5.554,0.998,,,,,,,,○,,,,,CTM/attachment/2016041113462426285bf4c93-619a-4094-8ff6-fe59ab9857c7/02070025-1
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2024/1/18,,肉団子,,200,,本登録,通常レシピ,マイレシピ,その他１,その他,肉（その他）,酢・ドレ,その他,,設定なし,中華,,設定なし,,92.1,5.37,2.4,12.48,0.9,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2024/1/19,,切干大根と半平の煮物,,200,,本登録,通常レシピ,マイレシピ,その他１,煮物,野菜,その他,その他,,,和,,,,96.08,4.338,2.226,15.418,0.998,,,,,,,,○,,,,,CTM/attachment/20160411171010727bd736bc5-0eb2-446f-b102-afa598081247/02222222-7
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2024/1/15,,目玉焼き,,200,,本登録,通常レシピ,マイレシピ,ガロニ１,焼物,卵・卵製品,設定なし,,,,,,,,85.083,6.155,6.153,0.232,0.2,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2024/1/16,,玉子ロール,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,,,,,,,,,55.27,3.186,2.31,5.442,0.704,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2024/1/17,,温泉玉子,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,,,,,,95.28,7.917,6.205,0.732,0.477,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2024/1/18,,ほうれん草オムレツ,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,設定なし,洋,,設定なし,,68.55,5.657,4.166,1.618,0.713,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2024/1/19,,千草卵焼,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,設定なし,洋,,設定なし,,78.17,6.151,4.685,2.352,0.832,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2024/1/15,,サラダ,,200,,本登録,通常レシピ,マイレシピ,ガロニ１,サラダ,野菜,,,,,,,,,10.15,0.555,0.09,2.545,0.005,,,,,,,,,,,,,CTM/attachment/202010010937148516ba918df-ae44-4830-9730-c05b06b6d22d/キャベツ・くしトマト・ブロッコリー
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2024/1/16,,じゃが芋とツナの煮物,,200,,本登録,通常レシピ,マイレシピ,温小鉢,煮物,いも類（こんにゃく含む）,その他,その他,秋,,和,,,,68.01,2.225,1.161,12.643,0.962,,,,,,,,○,,,,,CTM/attachment/201604081535133898192b5b9-f2ef-44bf-bdd9-1d7eeeb3f616/02010071-1
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2024/1/17,,ホキの味噌焼き,,200,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,味噌,その他,,,,,,,93.62,11.17,1.23,8.846,1.442,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2024/1/18,,コーンコロッケ,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,いも類（こんにゃく含む）,その他,その他,,,洋,,,,175.77,3.08,8.68,20.93,0.35,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2024/1/19,,鶏肉の塩焼,,200,,本登録,通常レシピ,マイレシピ,その他２,焼物,肉（鶏）,塩,その他,,,設定なし,,設定なし,,120.3,10.35,8.58,1.56,0.892,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/1/15,,酢鶏,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,蒸物,肉（鶏）,設定なし,その他,春,設定なし,中華,,テーマ別健康メニュー,,340.125,32.405,13.666,25.913,1.8,,,,,,,,○,,,,,CTM/attachment/20160216103951658cde2090c-3e05-4679-aa54-c674defc391f/00140041-10
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/1/16,,豚バラと茄子炒め,,360,,本登録,通常レシピ,マイレシピ,その他２,炒物,加工ミンチ製品,醤油,その他,,,和,,設定なし,,313.954,12.625,28.415,5.316,0.67,,,,,,,,○,,,,,CTM/attachment/201610071717463376b2e3300-8b29-4a88-b9b8-1ca206abaf23/325
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/1/17,,チキンフリッターマスタードマヨソース,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,その他,その他,,,洋,,設定なし,,532.383,21.35,39.432,22.957,1.087,,,,,,,,○,,○,,,CTM/attachment/201604041654523354677cf05-0f1d-4afd-9536-5b9322323f10/01020138-3
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/1/18,,韓国風甘辛チキン,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,ケチャップ・トマト,ピリ辛,,,韓国,,設定なし,,409.032,23.095,23.896,26.447,1.623,,,,,,,,○,,,,,CTM/attachment/20170711093532153a2a050aa-a75e-4bce-9e25-e1bc444ec705/_MG_8820
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/1/19,,味噌かつ,,360,,本登録,通常レシピ,マイレシピ,その他５,揚物,肉（豚）,味噌,その他,,,,,,,378.83,15.131,19.406,34.001,1.824,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/1/20,,包みメンチカツ（チーズ入り）,,360,,本登録,通常レシピ,マイレシピ,アラカルト１,揚物,肉（その他）,醤油,その他,秋,,和,,,,249.39,7.83,15.21,18.99,0,,,,,,,,○,,○,○,,CTM/attachment/20170921115359697ef5ca79-ff24-4c0b-a361-b720bfffb5e7/包メンチカツ（すき焼き）
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/1/21,,チキンソテーガーリックソース,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（鶏）,醤油,にんにく,,,洋,,調理技術勉強会,,297.601,17.328,24.161,4.145,2.248,,,,,,,,○,,,,,CTM/attachment/2016040811450030489b06991-bf82-434f-982c-3a5592971774/03020066-3
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/1/15,,ホキの葱味噌焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,味噌,その他,,,,,,,111.047,15.514,1.865,6.927,2.126,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/1/16,,さばの唐揚げサラダ仕立て,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,酢・ドレ,その他,秋,,和,,設定なし,,363.715,14.567,28.507,8.925,1.474,,,,,,,,○,,,,,CTM/attachment/2016040413354127550a51ca7-d0f0-43ad-b59b-3be3c8055180/さば黒酢
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/1/17,,赤魚の煮付け,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,煮物,魚,その他,その他,,,和,,設定なし,,130.54,14.558,2.763,10.549,1.684,,,,,,,,○,,,,,CTM/attachment/20160406150448360ecf1d935-4051-4c52-8b09-15c607d3203b/02111111-22
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/1/18,,ホキの天ぷらバター醤油,,360,,本登録,通常レシピ,マイレシピ,魚メイン２,焼物,魚,設定なし,その他,秋,,和,,,,283.725,19.04,16.569,13.013,2.507,,,,,,,,○,,,,,CTM/attachment/201604211147166173e817e95-358b-49d5-9643-19f1cf24bae6/03040003-3
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/1/19,,アジのムニエル和風ソース,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,酢・ドレ,,夏,,設定なし,,設定なし,,258.792,17.301,17.765,8.864,1.969,,,,,,,,○,,,,,CTM/attachment/2017090515234733159ac4e4d-1846-4274-8a3a-628b5e0fbb8a/00130013-8
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2024/1/15,,【北海道】十勝豚丼,,300,,本登録,通常レシピ,全社レシピ,ご飯もの,焼物,肉（豚）,醤油,,,,,,,,932.28,36.118,34.863,110.573,2.776,,,,,,,,○,,,,,CTM/attachment/202310171220139588619ea2a-6e95-4a6f-bcdf-60ab5ce818cf/十勝豚丼
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2024/1/16,,ビビンバ,,300,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,肉（その他）,その他,ごま,,,韓国,,,,464.902,14.182,8.154,82.105,2.238,,,,,,,,○,,,,,CTM/attachment/201604181812363993a3ebe4d-d9a4-49db-9be0-5e4b2a4f6b95/10080176-2
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2024/1/17,,豚すき丼,,300,,本登録,通常レシピ,マイレシピ,その他５,丼物・ごはんもの,肉（豚）,醤油,その他,,,和,,,,689.685,22.22,28.042,84.466,1.944,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2024/1/18,,ミートスパゲティ,,300,,本登録,通常レシピ,マイレシピ,その他麺,麺類,加工ミンチ製品,ケチャップ・トマト,その他,,,イタリアン,,パート事業所向けレシピ,,433.944,16.161,6.982,76.4,2.995,,,,,,,,○,,,,,CTM/attachment/20160412155733416b3a09a64-c219-4db1-92ad-959bebc701e0/みーとすぱ
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2024/1/19,,バターチキンカレー,,300,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,肉（鶏）,その他,カレー,,設定なし,その他,,設定なし,,621.199,20.017,19.629,89.591,2.126,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2024/1/15,,カレーラーメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,加工ミンチ製品,その他,カレー,,,中華,,,,658.367,41.099,32.199,77.457,7.969,,,,,,,,○,,○,○,,CTM/attachment/201604071612478061e0c01b5-af07-4e9b-9eaa-6beda8027a35/15111144-37
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2024/1/16,,なめこおろしそば,,300,,本登録,通常レシピ,マイレシピ,和麺,麺類,加工ミンチ製品,その他,その他,,,和,,,,376.67,17.418,2.403,73.269,6.086,,,,,,,,○,○,○,,,CTM/attachment/20160408150809929a4ed8edc-7c41-4321-9d61-8f14c58a7dc4/なめこおろし
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2024/1/17,,豚骨ラーメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,その他,その他,,,中華,,,,380.75,34.335,11.33,70.34,6.61,,,,,,,,○,,○,,,CTM/attachment/201604071603512770c0ad5a-90bc-4dd2-8b2f-13dc688d3468/15111144-22
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2024/1/18,,【山形】辛味噌ラーメン,,300,,本登録,通常レシピ,全社レシピ,中華麺,麺類,その他,味噌,ピリ辛,,,,,フェア,,470.08,22.264,11.469,71.126,9.29,,,,,,,,○,,,○,,CTM/attachment/2023101712214067329a01398-8bf6-48df-b8d2-06d4116dbd12/辛味噌ラーメン
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2024/1/19,,ワンタンメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,肉（その他）,醤油,その他,,設定なし,和,,設定なし,,456.017,37.373,16.615,75.138,8.408,,,,,,,,○,,○,,,CTM/attachment/20160407163357139146c2018-3be0-4320-b7f1-f2b091ea5fe0/15111144-77
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2024/1/15,,南瓜と糸こんの煮物,,1,,本登録,通常レシピ,マイレシピ,その他２,煮物,野菜,,,,,,,,,50.26,1.504,0.171,12.794,0.715,,,,,,,,○,,,,,CTM/attachment/2016070415121725595194684-510c-4add-b1b8-c721f47497a5/南瓜と糸こんの煮物
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2024/1/16,,湯豆腐の鶏そぼろあん,,1,,本登録,通常レシピ,マイレシピ,温小鉢,煮物,肉（鶏）,設定なし,その他,,,和,,設定なし,,91.86,6.794,3.794,8.179,0.852,,,,,,,,○,,,,,CTM/attachment/20160411133343982681d1b87-b28f-4c56-8da6-14ec06653acb/02070017-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2024/1/17,,ハムポテトフライ,,1,,本登録,通常レシピ,マイレシピ,その他１,揚物,いも類（こんにゃく含む）,その他,その他,,,洋,,,,166.26,3.36,9.96,15.42,0.72,,,,,,,,○,,○,○,,CTM/attachment/201702081722087591f6691b7-8bfb-40de-b22d-bcace28a3da6/e3ad38453dd1d19cb2ca36798b2bc832
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2024/1/18,,焼肉ピラフ,,1,,本登録,通常レシピ,マイレシピ,その他２,丼物・ごはんもの,加工ミンチ製品,その他,,,,洋,,,,262.497,6.027,5.791,45.391,1.233,,,,,,,,○,,,○,,CTM/attachment/20160420171854419b33fee46-74cc-483e-96b6-8664935b28c9/10080127-2
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2024/1/19,,竹輪と野菜の含め煮,,1,,本登録,通常レシピ,マイレシピ,温小鉢,煮物,豆・豆製品,その他,その他,,,和,,,,125.05,4.658,4.094,18.795,2.02,,,,,,,,○,,○,,,CTM/attachment/2016041113462426285bf4c93-619a-4094-8ff6-fe59ab9857c7/02070025-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2024/1/15,,マカロニグラタン,,1,,本登録,通常レシピ,マイレシピ,温小鉢,焼物,その他,ホワイト・牛乳,,,設定なし,洋,,設定なし,,184.698,7.088,8.133,21.164,1.818,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2024/1/16,,エビ串団子,,1,,本登録,通常レシピ,マイレシピ,その他１,揚物,魚以外の魚介・練り製品,その他,その他,,,洋,,,,120.55,4.8,6.4,10.65,0.9,,,,,,○,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2024/1/17,,ブロッコリーの中華カニカマあん,,1,,本登録,通常レシピ,マイレシピ,温小鉢,和え物・酢の物,野菜,その他,にんにく,,設定なし,洋,,からだ元気定食,,34.07,2.835,0.269,5.997,0.578,,,,,,,○,○,,○,,,CTM/attachment/202011181623578815a63b4ff-a125-4e42-971b-50c4a5b40997/IMG_0135
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2024/1/18,,大豆のコンソメ煮,,1,,本登録,通常レシピ,マイレシピ,温小鉢,煮物,豆・豆製品,その他,その他,,,洋,,設定なし,,99.312,5.333,6.153,6.872,0.971,,,,,,,,○,,○,○,,CTM/attachment/20160412124114237fda4cbd0-7d44-4ca1-b17a-e54b023a81de/02080005-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2024/1/19,,れんこんのはさみ揚げ,,1,,本登録,通常レシピ,マイレシピ,その他２,揚物,その他,,その他,,設定なし,,,,,158.4,3.36,11.52,10.26,0.42,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2024/1/15,,カニカマコールスロー,,1,,本登録,通常レシピ,マイレシピ,サラダ,サラダ,野菜,設定なし,,,,洋,,設定なし,,121.9,2.067,9.214,8.916,0.84,,,,,,,○,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2024/1/16,,カリフラワーと豆の和え物,,1,,本登録,通常レシピ,マイレシピ,冷小鉢,和え物・酢の物,野菜,マヨネーズ,,,,,,,,82.485,3.328,5.424,5.706,0.108,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2024/1/17,,根菜サラダ,,1,,本登録,通常レシピ,マイレシピ,その他２,サラダ,野菜,マヨネーズ,,冬,,設定なし,,設定なし,,148.6,1.393,11.358,11.182,0.299,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2024/1/18,,わかめ・きゅうり・しらすの酢の物,,1,,本登録,通常レシピ,マイレシピ,冷小鉢,和え物・酢の物,海藻・きのこ,酢・ドレ,その他,,,和,,設定なし,,24.19,2.69,0.266,3.819,1.325,,,,,,○,○,○,,,,,CTM/attachment/2016042114003062613467075-d221-4177-88cc-eea289ec14b8/06666666-54
