事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/2/26,,タンドリーチキン,,360,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,その他,カレー,,設定なし,その他,,設定なし,,242.488,20.752,17.53,1.813,0.896,,,,,,,,,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/2/27,,ハンバーグ和風おろし煮込み,,360,,本登録,通常レシピ,マイレシピ,その他５,その他,豆・豆製品,醤油,,,,,,,,227.94,14.764,11.809,15.802,2.436,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/2/28,,揚げ鶏のピリ辛トマトマヨソース,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,マヨネーズ,ピリ辛,,,洋,,,,439.814,18.364,37.009,9.305,1.369,,,,,,,,○,,○,,,CTM/attachment/201604041333303063cbd2bc7-ab94-469a-bc03-58edac6e9075/01020003-2
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/2/29,,チキンソテー柚子味噌ソース,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,味噌,その他,,,和,,設定なし,,280.367,21.269,17.503,10.525,1.424,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/3/1,,豚肉のスパイシー揚げ,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,設定なし,その他,,,和,,設定なし,,397.16,17.965,29.466,11.382,0.783,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/3/2,,メバルのムニエル,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,酢・ドレ,その他,春,,洋,,調理技術勉強会,,184.48,14.933,11.924,2.904,0.715,,,,,,,,○,,,○,,CTM/attachment/20160407192502753108d1b60-4cd2-4e07-858d-1c52a7c4c216/03040139-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/3/3,,揚げたらの葱ソース,,360,,本登録,通常レシピ,全社レシピ,魚メイン１,揚物,魚,その他,その他,冬,,中華,,設定なし,,208.477,15.622,9.437,13.218,2.682,,,,,,,,○,,,,,CTM/attachment/20160404175424732e1f4f603-8138-44e3-8cc0-55ca475d936b/葱ソース
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/2/26,,アジの南蛮漬け,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,酢・ドレ,その他,,,,,設定なし,,259.845,18.499,13.356,18.25,2.377,,,,,,,,○,,,,,CTM/attachment/2016012910243331948922f4e-96f8-4d0f-8c5f-e52e45a87df7/00130020-34
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/2/27,,油淋魚（バサ）(ユーリンユイ),,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,酢・ドレ,ピリ辛,,設定なし,中華,,設定なし,,351.705,20.27,14.826,30.783,1.71,,,,,,,,○,,,,,CTM/attachment/201601262056388296cac0841-a2cd-4087-a1db-bbae2997b748/00100053-2
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/2/28,,鯖の味噌煮,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,煮物,魚,味噌,その他,秋,,和,,おすすめ旬,,358.041,16.859,24.567,14.601,1.559,,,,,,,,○,,,,,CTM/attachment/20171101102449956a761c2ce-d7ed-45c7-8859-45d37200d12a/IMG_0536
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/2/29,,シーフードミックスフライ,,360,,本登録,通常レシピ,マイレシピ,肉メイン２,揚物,魚以外の魚介・練り製品,,,,,,,,,385.72,20.46,20.71,29.23,1.59,,,,,,○,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/3/1,,ホキのピカタオーロラソース,,360,,本登録,通常レシピ,マイレシピ,その他１,焼物,魚,その他,その他,,,洋,,調理技術勉強会,,351.157,16.08,29.118,4.768,1.456,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2024/2/26,,豚肉の鍋照り焼丼,,300,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,肉（豚）,醤油,その他,,,和,,,,691.185,17.439,23.925,96.181,3.356,,,,,,,,○,,,,,CTM/attachment/20160421155057231ed8492a6-51a9-49b2-902e-26fe7f6543e0/10080060-2
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2024/2/27,,ソースチキンカツ丼,,300,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,肉（鶏）,その他,その他,,設定なし,,,,,643.743,22.531,15.788,98.402,1.753,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2024/2/28,,天津飯,,300,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,卵・卵製品,設定なし,その他,,,中華,,パート事業所向けレシピ,,541.34,11.612,15.452,86.074,3.235,,,,,,,○,○,,○,○,,CTM/attachment/20160405165015951cf175a7a-2c0d-45df-b145-fb1b1e45acd7/97000053-1
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2024/2/29,,チキントマトスパゲッティ,,300,,本登録,通常レシピ,マイレシピ,その他麺,麺類,肉（鶏）,ケチャップ・トマト,その他,,,イタリアン,,設定なし,,613.462,22.799,23.445,75.596,2.581,,,,,,,,○,,,○,,CTM/attachment/20210730092729125734c3e35-af65-4f22-9a1f-34d53d2016ec/IMG_0040
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2024/2/26,,けんちんうどん,,300,,本登録,通常レシピ,マイレシピ,和麺,麺類,その他,醤油,その他,,設定なし,和,,設定なし,,383.621,13.62,6.431,69.989,4.961,,,,,,,,○,○,,,,
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2024/2/27,,味噌ラーメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,味噌,その他,,,中華,,,,406.22,36.512,11.272,75.106,8.034,,,,,,,,○,,○,,,CTM/attachment/20160421180413249843fc3fb-30db-4d2c-b717-4d02f02b8384/21000044-7
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2024/2/28,,塩タンメン,,300,,本登録,通常レシピ,全社レシピ,中華麺,麺類,野菜,塩,その他,,,中華,,設定なし,,479.483,43.077,24.116,62.954,8.792,,,,,,,,○,,,○,,CTM/attachment/2016040715520836182ea6ad4-3d73-44e2-9975-0fbccdec5474/15111144-8
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2024/2/29,,担々麺,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,肉（豚）,設定なし,ピリ辛,,,中華,,設定なし,,633.276,21.774,26.914,77.472,6.12,,,,,,○,,○,,○,,○,CTM/attachment/2017020609202333624740f71-2ebf-4f8b-a9e2-da09a2b8bacf/15111144-17
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2024/3/1,,豚骨醤油ラーメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,肉（豚）,醤油,その他,,,中華,,,,396.365,36.582,11.688,72.312,6.794,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2024/2/26,,糸こんと蓮根の七味きんぴら,,1,,本登録,通常レシピ,マイレシピ,その他５,炒物,野菜,醤油,ごま,,設定なし,和,,設定なし,,89.089,1.421,3.622,13.658,0.88,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2024/2/27,,厚揚げとごぼうの柳川風煮,,1,,本登録,通常レシピ,マイレシピ,温小鉢,煮物,肉（豚）,醤油,その他,,,和,,設定なし,,121.475,7.783,6.649,7.196,0.844,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2024/2/28,,ひじきと竹輪の炒り煮,,1,,本登録,通常レシピ,マイレシピ,温小鉢,炒物,野菜,醤油,,,設定なし,和,,設定なし,,62.523,2.686,1.584,10.978,1.292,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2024/2/29,,鶏肉と里芋の煮物,,1,,本登録,通常レシピ,マイレシピ,温小鉢,煮物,肉（鶏）,醤油,その他,,,和,,,,90.555,5.137,2.925,11.437,0.974,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2024/3/1,,小松菜とコーンの炒め物,,1,,本登録,通常レシピ,マイレシピ,温小鉢,炒物,野菜,塩,その他,,,設定なし,,,,51.114,1.63,2.34,6.832,0.554,,,,,,,,○,,,○,,
