事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2024/4/30,,大根とがんもの煮物,,200,,本登録,通常レシピ,マイレシピ,その他１,煮物,豆・豆製品,醤油,,,,和,,,,89.76,4.761,4.657,7.896,1.426,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2024/4/30,,ミートオムレツ,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,,,,,洋,,,,70.77,5.331,3.04,5.462,0.899,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2024/4/30,,ホタテ風味カツ,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,魚以外の魚介・練り製品,設定なし,,,,,,,,114.04,2.88,7.04,9.28,0.48,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/4/29,,名古屋手羽先風唐揚げ,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,醤油,その他,,設定なし,和,愛知,,,381.093,21.755,26.546,14.852,1.36,,,,,,,,○,,,,,CTM/attachment/20160119165651262dccfb36e-5a68-40ad-8e9c-c6b0257465ce/00100027-10
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/4/30,,にんにくたっぷりトンテキ,,360,,本登録,通常レシピ,マイレシピ,肉メイン２,焼物,肉（豚）,醤油,その他,,設定なし,和,三重,,,314.46,18.276,19.986,12.351,2.119,,,,,,,,○,,,,,CTM/attachment/201611201158398527647054c-2af0-4439-918e-f5196b2e8c0d/定食_とんてき
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/4/29,,いわしの香草パン粉焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,その他,香草・しそ,,,洋,,,,202.242,19.888,9.749,9.499,1.294,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/4/30,,ホキの天ぷら和風ドレッシングソース,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,肉（その他）,酢・ドレ,その他,,,和,,設定なし,,230.18,18.13,14.689,6.392,1.294,,,,,,,,○,,,○,,CTM/attachment/201604202118574944c6e7eb1-ab05-43d0-8bc0-356e31f43da9/03030002-20
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2024/4/30,,オムライス,,300,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,加工野菜製品,ケチャップ・トマト,,,,洋,,,,593.802,17.407,15.761,92.624,2.965,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2024/4/30,,鶏きしめん,,300,,本登録,通常レシピ,マイレシピ,和麺,麺類,肉（鶏）,設定なし,その他,冬,設定なし,和,,設定なし,,410.334,18.004,8.445,67.122,7.314,,,,,,,,○,,○,○,,CTM/attachment/201604111430025842486146e-c75f-4132-9a14-0e10914e094e/鶏きしめん
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2024/4/30,,長芋と茄子の揚げ出し,,1,,本登録,通常レシピ,マイレシピ,温小鉢,揚物,いも類（こんにゃく含む）,その他,その他,秋,,和,,おすすめ旬,,127.35,2.417,5.147,18.947,0.765,,,,,,,,○,,,,,CTM/attachment/20160128182444304aa057581-d51e-459e-960a-0b4b0d16d003/里芋
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2024/4/30,,ハイカラ肉団子,,1,,本登録,通常レシピ,マイレシピ,その他１,焼物,卵・卵製品,,,,,洋,,,,85.8,4.98,2.34,10.92,0.9,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2024/4/30,,春雨サラダ,,1,,本登録,通常レシピ,マイレシピ,その他２,サラダ,加工ミンチ製品,酢・ドレ,その他,,設定なし,設定なし,,設定なし,,98.485,1.316,2.067,18.661,0.934,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2024/4/30,,オレンジヨーグルト,,1,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,その他,その他,,,洋,,設定なし,,61.94,1.56,1.23,11.582,0.04,,,,,,,,,,,○,,
1140-00,豊橋技術科学大学 食堂,夕食,定食,2024/4/29,,イカフリッターチリソース,,360,,本登録,通常レシピ,マイレシピ,その他５,揚物,魚以外の魚介・練り製品,設定なし,ピリ辛,,,,,設定なし,,223.24,12.668,8.277,22.862,1.062,,,,,,,,○,,,,,CTM/attachment/201604071821186768ae170b8-2715-4f28-96f1-6bd4a9ebb8c9/01050051-1
1140-00,豊橋技術科学大学 食堂,夕食,定食,2024/4/30,,さばの塩焼き,,360,,本登録,通常レシピ,全社レシピ,魚メイン１,焼物,魚,塩,その他,秋,,和,,設定なし,,278.16,15.788,24.254,3.91,1.139,,,,,,,,,,,,,CTM/attachment/20160128163841530cbb0d0be-db74-4d87-9cb8-5fee2f049532/00130006-13
