事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/9/24,,ミックスフライ,,360,,本登録,通常レシピ,マイレシピ,肉メイン２,揚物,魚以外の魚介・練り製品,,,,,,,,,314.74,15.69,16.99,24.73,1.32,,,,,,○,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/9/25,,チキンレモンペッパー焼き,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（鶏）,酢・ドレ,ピリ辛,,設定なし,イタリアン,,設定なし,,259.4,16.97,21.47,0.61,1.54,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/9/26,,酢豚,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,煮物,肉（豚）,酢・ドレ,その他,,,中華,,設定なし,,457.699,10.929,30.812,38.262,3.099,,,,,,,,○,,,,,CTM/attachment/20160411143501739c93973a5-effa-4179-b9b5-ba80ef430405/02111111-60
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/9/27,,ささみの磯辺天ぷら天つゆあん,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,設定なし,その他,,設定なし,和,,設定なし,,414.985,33.769,13.813,39.795,1.904,,,,,,○,○,○,,,,,CTM/attachment/20160407163522754256a4f7e-c5c6-4f6b-ad1b-2fff5bc082ba/01040340-2
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/9/24,,焼きさばのカレーソース,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,その他,カレー,秋,,その他,,,,264.254,11.331,19.941,8.185,1.135,,,,,,,,○,,○,,,CTM/attachment/201711011016202406242b934-2d4e-40f9-b594-b516acde91de/IMG_0532
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/9/25,,カジキマグロカツオーロラソース,,360,,本登録,通常レシピ,全社レシピ,魚メイン１,揚物,魚,マヨネーズ,その他,,設定なし,設定なし,,設定なし,,386.73,14.077,24.268,27.544,1.67,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/9/26,,ホキの明太マヨネーズ焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,マヨネーズ,その他,,設定なし,設定なし,,,0,268.961,17.822,19.551,3.193,1.666,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/9/27,,アジのムニエルラタトゥイユ風,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,ケチャップ・トマト,その他,,設定なし,その他,,設定なし,,225.794,17.709,11.857,14.159,1.133,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2024/9/24,,冷やしとろろそば,,300,,本登録,通常レシピ,マイレシピ,和麺,麺類,いも類（こんにゃく含む）,その他,その他,,,和,,設定なし,,394.996,18.207,2.637,76.369,4.698,,,,,,,,○,○,○,,,CTM/attachment/2021073010484252157296a06-19d9-4d63-9f58-cb35722a072c/IMG_0001
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2024/9/25,,辛口メンマラーメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,加工ミンチ製品,味噌,ピリ辛,,,中華,,,,381.05,36.235,14.34,63.2,6.025,,,,,,,,○,,,○,,CTM/attachment/20210628094257318ffb864d-6dfb-42ce-bda9-86610185e26f/IMG_0023
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2024/9/26,,鶏南蛮うどん,,300,,本登録,通常レシピ,マイレシピ,和麺,麺類,肉（鶏）,酢・ドレ,その他,,,和,,,,381.6,17.073,6.873,64.468,6.66,,,,,,,,○,,,,,CTM/attachment/20210630143642514162690e8-79d9-45e9-9baf-0569acc4049a/IMG_0145
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2024/9/27,,【埼玉】岩槻豆腐ラーメン,,300,,本登録,通常レシピ,全社レシピ,中華麺,麺類,豆・豆製品,醤油,,,,,埼玉,フェア,,544.38,28.011,19.729,66.67,5.62,,,,,,,,○,,,○,,CTM/attachment/202405281415471474b369168-d31f-4cb2-9fc4-8c73aa1451d8/【埼玉】岩槻豆腐ﾗｰﾒﾝ
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2024/9/24,,さつま芋のレモン煮,,1,,本登録,通常レシピ,マイレシピ,冷小鉢,煮物,いも類（こんにゃく含む）,その他,その他,秋,,洋,,,,131.496,1.068,0.244,32.057,0.579,,,,,,,,,,,,,CTM/attachment/201602031008392221e75e163-b30a-427e-bcd1-c0ddc5333409/00140006-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2024/9/25,,3種の竹輪天ぷら,,1,,本登録,通常レシピ,マイレシピ,温小鉢,揚物,野菜,,その他,,設定なし,,,,,286.475,8.94,9.899,40.279,2.47,,,,,,○,○,○,,○,,,
