事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2024/10/15,,大根とがんもの煮物,,200,,本登録,通常レシピ,マイレシピ,その他１,煮物,豆・豆製品,醤油,,,,和,,,,89.76,4.761,4.657,7.896,1.426,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2024/10/16,,肉味噌キャベツ,,200,,本登録,通常レシピ,マイレシピ,温小鉢,焼物,豆・豆製品,味噌,,,,和,,設定なし,,81.208,4.198,2.874,11.218,1.118,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2024/10/17,,筑前煮,,200,,本登録,通常レシピ,マイレシピ,その他１,煮物,野菜,その他,その他,,,和,,,,121.836,3.433,4.596,18.434,0.746,,,,,,,,○,,,,,CTM/attachment/20160405190116519f4776667-ccc8-4d7f-8f0d-06d49b035f0a/02222222-14
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2024/10/18,,竹輪のきんぴら,,200,,本登録,通常レシピ,マイレシピ,その他１,炒物,魚以外の魚介・練り製品,醤油,その他,,,和,,エコ,,77.615,2.837,3.033,10.331,1.013,,,,,,,,○,,○,,,CTM/attachment/20160421180000671f4fe4fe6-9ca7-4321-8b44-5bd6871cf202/19000000-35
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2024/10/15,,ミートオムレツ,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,,,,,洋,,,,70.77,5.331,3.04,5.462,0.899,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2024/10/16,,スクランブルエッグ,,200,,本登録,通常レシピ,マイレシピ,その他１,炒物,卵・卵製品,,,,,洋,,設定なし,,113.97,5.691,7.983,4.842,0.759,,,,,,,,,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2024/10/17,,厚焼玉子,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,卵・卵製品,設定なし,,,,,,,,122.8,5.02,4.8,14.82,2.02,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2024/10/18,,千草卵焼,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,設定なし,洋,,設定なし,,78.17,6.151,4.685,2.352,0.832,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2024/10/15,,ホタテ風味カツ,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,魚以外の魚介・練り製品,設定なし,,,,,,,,114.04,2.88,7.04,9.28,0.48,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2024/10/16,,白身魚フライ（タラ）,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,魚,設定なし,,,,設定なし,,設定なし,,164.46,7.68,7.2,16.2,0.42,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2024/10/17,,チキンソテー,,200,,本登録,通常レシピ,マイレシピ,その他２,焼物,肉（鶏）,ケチャップ・トマト,その他,夏,設定なし,イタリアン,,設定なし,,120.832,10.386,8.588,1.638,0.671,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2024/10/18,,ホキのバジル焼き,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,魚,,,,,,,,,86.65,10.43,4.595,0.245,0.92,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/10/15,,にんにくたっぷりトンテキ,,360,,本登録,通常レシピ,マイレシピ,肉メイン２,焼物,肉（豚）,醤油,その他,,設定なし,和,三重,,,314.46,18.276,19.986,12.351,2.119,,,,,,,,○,,,,,CTM/attachment/201611201158398527647054c-2af0-4439-918e-f5196b2e8c0d/定食_とんてき
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/10/16,,さっぱりチキン,,360,,本登録,通常レシピ,マイレシピ,その他５,揚物,肉（鶏）,酢・ドレ,その他,,,洋,,設定なし,,432.972,21.725,31.938,15.57,1.622,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/10/17,,ハンバーグデミソース,,360,,本登録,通常レシピ,マイレシピ,弁当１,焼物,加工ミンチ製品,デミグラス,その他,,,洋,,,,287.489,15.775,16.008,20.935,2.254,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2024/10/18,,豚肉の竜田揚げガーリックソース,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（豚）,その他,その他,,,和,,,,431.151,11.861,40.135,8.49,1.466,,,,,,,,○,,,,,CTM/attachment/2016040415061239754d9e2b6-b2fb-48ae-9989-06f938d8dd79/01020051-2
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/10/15,,ホキの天ぷら和風ドレッシングソース,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,肉（その他）,酢・ドレ,その他,,,和,,設定なし,,230.18,18.13,14.689,6.392,1.294,,,,,,,,○,,,○,,CTM/attachment/201604202118574944c6e7eb1-ab05-43d0-8bc0-356e31f43da9/03030002-20
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/10/16,,メルルーサの菜種焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,その他,その他,,,洋,,設定なし,,212.016,20.957,12.717,3.016,1.325,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/10/17,,タラの磯辺揚げポン酢ソース,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,酢・ドレ,その他,秋,,和,,設定なし,,216.6,17.036,9.202,17.424,2.554,,,,,,○,○,○,,,,,CTM/attachment/20160404102218136074d835a-e6de-4e37-9aa6-022831fca46c/おろしポン酢
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2024/10/18,,さばの中華煮,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,煮物,魚,その他,その他,秋,,中華,,,,439.722,16.547,37.267,5.9,2.516,,,,,,,,○,,,○,,CTM/attachment/20160414164707358c2e3c024-8b7f-4d7a-9f27-e20fe7e43847/02040002-3
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2024/10/15,,オムライス,,300,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,加工野菜製品,ケチャップ・トマト,,,,洋,,,,593.802,17.407,15.761,92.624,2.965,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2024/10/16,,トリュフ香る秋の炊き込みご飯　うずら卵フライ,,300,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,その他,,,,,,,,,632.61,20.726,13.783,108.227,4.017,,,,,,,,○,,○,○,,CTM/attachment/20240620181409298ab417a61-8c25-489b-bbb9-5c06890b37a3/トリュフ香る秋の炊き込みご飯
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2024/10/17,,チキンときのこのクリームスパゲティ,,300,,本登録,通常レシピ,マイレシピ,ご飯もの,麺類,魚,ホワイト・牛乳,その他,,,洋,,,,799.088,26.48,38.567,88.539,5.023,,,,,,,,○,,,○,,CTM/attachment/2016041309480514910d148ca-1a3c-4362-a17f-ca5ec4db25d6/クリーム
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2024/10/18,,おそば屋さん風カレー,,300,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,加工ミンチ製品,その他,カレー,,設定なし,その他,,設定なし,,662.58,15.211,15.695,115.863,2.947,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2024/10/15,,鶏きしめん,,300,,本登録,通常レシピ,マイレシピ,和麺,麺類,肉（鶏）,設定なし,その他,冬,設定なし,和,,設定なし,,410.334,18.004,8.445,67.122,7.314,,,,,,,,○,,○,○,,CTM/attachment/201604111430025842486146e-c75f-4132-9a14-0e10914e094e/鶏きしめん
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2024/10/16,,まろやか味噌ラーメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,味噌,その他,,設定なし,和,,設定なし,,412.25,18.59,4.24,77.74,7.11,,,,,,,,○,,○,,,CTM/attachment/20160407163309778b6c876b5-13c3-4c32-9a09-29d42863cf01/15111144-65
