事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2026/1/13,,大根とがんもの煮物,,200,,本登録,通常レシピ,マイレシピ,その他１,煮物,豆・豆製品,醤油,,,,和,,,60,89.76,4.761,4.657,7.896,1.426,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2026/1/14,,肉味噌キャベツ,,200,,本登録,通常レシピ,マイレシピ,温小鉢,焼物,豆・豆製品,味噌,,,,和,,設定なし,60,81.208,4.198,2.874,11.218,1.118,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2026/1/15,,筑前煮,,200,,本登録,通常レシピ,マイレシピ,その他１,煮物,野菜,その他,その他,,,和,,,60,121.836,3.433,4.596,18.434,0.746,,,,,,,,○,,,,,CTM/attachment/20160405190116519f4776667-ccc8-4d7f-8f0d-06d49b035f0a/02222222-14
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2026/1/13,,ミートオムレツ,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,,,,,洋,,,60,70.77,5.331,3.04,5.462,0.899,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2026/1/14,,スクランブルエッグ,,200,,本登録,通常レシピ,マイレシピ,その他１,炒物,卵・卵製品,,,,,洋,,設定なし,60,113.97,5.691,7.983,4.842,0.759,,,,,,,,,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2026/1/15,,厚焼玉子,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,卵・卵製品,設定なし,,,,,,,60,122.8,5.02,4.8,14.82,2.02,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2026/1/13,,ホタテ風味カツ,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,魚以外の魚介・練り製品,設定なし,,,,,,,60,114.04,2.88,7.04,9.28,0.48,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2026/1/14,,白身魚フライ（タラ）,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,魚,設定なし,,,,設定なし,,設定なし,60,164.46,7.68,7.2,16.2,0.42,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2026/1/15,,鶏のレモンペッパー焼,,200,,本登録,通常レシピ,全社レシピ,肉メイン１,焼物,肉（鶏）,その他,にんにく,夏,設定なし,洋,,設定なし,60,143.148,10.115,11.573,0.256,0.683,,,,,,,,○,,,○,,CTM/attachment/201604121837359590dc44a23-5d5a-4913-bdb9-73df90a51a44/03020086-3
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/1/13,,にんにくたっぷりトンテキ,,360,,本登録,通常レシピ,マイレシピ,肉メイン２,焼物,肉（豚）,醤油,その他,,設定なし,和,三重,,90,314.46,18.276,19.986,12.351,2.119,,,,,,,,○,,,,,CTM/attachment/201611201158398527647054c-2af0-4439-918e-f5196b2e8c0d/定食_とんてき
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/1/14,,名古屋手羽先風唐揚げ,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,醤油,その他,,設定なし,和,愛知,,140,381.093,21.755,26.546,14.852,1.36,,,,,,,,○,,,,,CTM/attachment/20160119165651262dccfb36e-5a68-40ad-8e9c-c6b0257465ce/00100027-10
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/1/15,,ハンバーグデミソース,,360,,本登録,通常レシピ,マイレシピ,弁当１,焼物,加工ミンチ製品,デミグラス,その他,,,洋,,,120,287.489,15.775,16.008,20.935,2.254,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/1/16,,豚肉の唐揚げ焼肉のたれ風味,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,揚物,肉（豚）,醤油,にんにく,,,,,,100,462.755,19.385,28.604,33.747,2.033,,,,,,,,○,,○,,,CTM/attachment/20241201234040415a1cfb10f-b6a5-4ef6-8e61-75261d4febb3/20241118_0053
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/1/13,,ホキの天ぷら和風ドレッシングソース,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,肉（その他）,酢・ドレ,その他,,,和,,設定なし,100,230.18,18.13,14.689,6.392,1.294,,,,,,,,○,,,○,,CTM/attachment/201604202118574944c6e7eb1-ab05-43d0-8bc0-356e31f43da9/03030002-20
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/1/14,,めばるの香草パン粉焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,その他,香草・しそ,,,洋,,,60,151.842,18.898,4.619,9.319,1.294,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/1/15,,タラの磯辺揚げポン酢ソース,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,酢・ドレ,その他,秋,,和,,設定なし,80,216.6,17.036,9.202,17.424,2.554,,,,,,○,○,○,,,,,CTM/attachment/20160404102218136074d835a-e6de-4e37-9aa6-022831fca46c/おろしポン酢
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/1/16,,さばの中華煮,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,煮物,魚,その他,その他,秋,,中華,,,60,439.722,16.547,37.267,5.9,2.516,,,,,,,,○,,,○,,CTM/attachment/20160414164707358c2e3c024-8b7f-4d7a-9f27-e20fe7e43847/02040002-3
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2026/1/13,,オムライス,,300,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,加工野菜製品,ケチャップ・トマト,,,,洋,,,60,593.802,17.407,15.761,92.624,2.965,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2026/1/14,,月見照り焼豆腐ハンバーグ丼,,300,,本登録,通常レシピ,全社レシピ,ご飯もの,丼物・ごはんもの,豆・豆製品,醤油,その他,,設定なし,和,,テーマ別健康メニュー,40,677.89,24.483,12.25,117.737,1.958,,,,,,,,○,,○,,,CTM/attachment/20160217134228269ca03b1cf-996d-42a4-97c3-d61156f5680d/00140041-19
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2026/1/15,,チキンときのこのクリームスパゲティ,,300,,本登録,通常レシピ,マイレシピ,ご飯もの,麺類,魚,ホワイト・牛乳,その他,,,洋,,,40,799.088,26.48,38.567,88.539,5.023,,,,,,,,○,,,○,,CTM/attachment/2016041309480514910d148ca-1a3c-4362-a17f-ca5ec4db25d6/クリーム
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/1/13,,八丁味噌仕立てのコクうま味噌きしめん,,300,,本登録,通常レシピ,全社レシピ,和麺,麺類,その他,味噌,その他,,,和,,フェア,40,530.03,22.476,12.887,82.537,6.754,,,,,,,,○,,,,,CTM/attachment/202507301539408453bdf6e41-7791-4149-a761-360393d04888/八丁味噌仕立てのコクうま味噌煮込みきしめん
