事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2026/2/2,,オムレツ＆ハムソテー,,200,,本登録,通常レシピ,本部レシピ,その他２,焼物,卵・卵製品,設定なし,,,,,,,50,105.611,8.832,4.323,7.14,1.476,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2026/2/3,,鶏つくね,,200,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,肉（鶏）,醤油,その他,,,和,,,50,99.75,6.12,2.52,12.555,1.62,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2026/2/4,,小松菜ソテー,,200,,本登録,通常レシピ,マイレシピ,温小鉢,焼物,野菜,,,,,,,,50,134.226,3.006,11.302,6.847,0.672,,,,,,,,,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2026/2/6,,高野豆腐の煮物,,200,,本登録,通常レシピ,マイレシピ,その他２,煮物,豆・豆製品,その他,その他,,,和,,,50,92.988,7.171,3.508,8.437,1.221,,,,,,,,○,,,,,CTM/attachment/201604171953233603bc95272-9f58-4019-9298-ab37897d7512/02222222-31
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2026/2/2,,目玉焼き,,200,,本登録,通常レシピ,マイレシピ,ガロニ１,焼物,卵・卵製品,設定なし,,,,,,,50,85.083,6.155,6.153,0.232,0.2,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2026/2/3,,野菜オムレツ,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,設定なし,洋,,設定なし,50,163.88,7.046,10.265,11.516,1.523,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2026/2/4,,千草卵焼,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,設定なし,洋,,設定なし,50,78.17,6.151,4.685,2.352,0.832,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2026/2/6,,厚焼玉子,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,卵・卵製品,設定なし,,,,,,,50,122.8,5.02,4.8,14.82,2.02,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2026/2/2,,ポテトサラダ,,200,,本登録,通常レシピ,全社レシピ,サラダ,サラダ,いも類（こんにゃく含む）,その他,その他,,,洋,,設定なし,50,62.05,1.005,2.925,7.965,0.515,,,,,,,,,,○,,,CTM/attachment/2016040518185527800deee31-393e-4f8b-8b3f-68d81511926d/09666666-1
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2026/2/3,,カレーコロッケ,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,いも類（こんにゃく含む）,その他,カレー,,,洋,,,50,144.705,2.53,7.535,16.5,0.44,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2026/2/4,,豆腐ハンバーグ,,200,,本登録,通常レシピ,マイレシピ,温小鉢,焼物,加工ミンチ製品,,,,,,,,50,104.4,8.22,2.76,12.66,1.47,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2026/2/6,,さばの塩焼き,,200,,本登録,通常レシピ,全社レシピ,魚メイン１,焼物,魚,塩,その他,秋,,和,,設定なし,50,84.4,8.24,6.72,0.12,0.506,,,,,,,,,,,,,CTM/attachment/201601281640116375f5c373a-210d-41ef-be31-0f58d384552e/00130006-15
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/2/2,,メンチカツベーコンチーズサンドフライ,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,加工肉製品,,,,,,,,120,330,8.37,22.66,22.275,1.38,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/2/3,,麻辣しびれ唐揚げ,,650,,本登録,通常レシピ,全社レシピ,肉メイン１,揚物,肉（鶏）,,ピリ辛,,設定なし,中華,,フェア,140,414.902,21.092,31.642,13.803,2.52,,,,,,,,○,,,,○,CTM/attachment/2025091916410626596b4e833-d7a5-4652-a792-3fea81073cbf/IMG_0095
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/2/4,,豚天甘酢あん,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（豚）,酢・ドレ,ピリ辛,,設定なし,設定なし,,設定なし,100,353.544,17.843,23.606,17.803,2.775,,,,,,,,○,,,,,CTM/attachment/20160404180651899e0b19f90-a7b7-4a37-bda9-be19ab8a43b0/01020306-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/2/5,,ハンバーグ青しそおろしソース,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（その他）,酢・ドレ,香草・しそ,,,和,,設定なし,80,243.22,13.485,12.943,17.415,2.799,,,,,,,,○,,○,○,,CTM/attachment/20160421112905586bbf94004-9d1a-4a6b-a969-80780ee18d0b/03030032-2
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/2/6,,油淋鶏,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,酢・ドレ,ピリ辛,,,中華,,,130,419.759,22.308,29.623,16.308,2.559,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/2/2,,白身魚の香味炸醤（シャンウェイザージャン）,,600,,本登録,通常レシピ,全社レシピ,魚メイン１,蒸物,魚,醤油,ごま,,,中華,,フェア,80,398.417,25.243,26.068,20.36,2.884,,,,,,,,○,,,,,CTM/attachment/20250919164238597ee03fdd8-a585-4b91-8186-f7181671a18e/IMG_0009
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/2/3,,白身魚(ホキ)のカレーマヨネーズ焼き,,360,,本登録,通常レシピ,本部レシピ,魚メイン１,焼物,魚,マヨネーズ,カレー,,,洋,,設定なし,60,238.386,14.162,19.078,2.787,1.136,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/2/4,,メバルの野菜たっぷりあんかけ,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,その他,その他,春,,和,,,70,185.566,19.214,4.292,19.214,2.257,,,,,,,,○,,,,,CTM/attachment/2016020416434791442c9b4f4-2f6d-43bd-bf45-883aa242b738/カレイ
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/2/5,,さばのから揚げ 葱レモンソース,,360,,本登録,通常レシピ,全社レシピ,魚メイン１,揚物,魚,酢・ドレ,その他,,,中華,,設定なし,50,397.241,15.005,30.313,11.96,2.665,,,,,,,,○,,,,,CTM/attachment/2016040511245346765ee598d-6afd-4267-a4f2-49f038b8e00b/ねぎレモン
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/2/6,,バサのガーリックペッパー焼き,,360,,本登録,通常レシピ,本部レシピ,魚メイン１,焼物,魚,,,,,,,,70,118.545,13.1,8.099,0.41,0.812,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2026/2/2,,とろろ豚丼,,300,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,肉（その他）,醤油,その他,,,和,,,30,634.921,21.132,21.727,88.725,1.51,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2026/2/3,,キーマカレー,,300,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,その他,その他,カレー,,設定なし,その他,,設定なし,30,585.626,19.766,19.309,86.274,2.416,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2026/2/4,,鶏照りマヨ丼,,300,,本登録,通常レシピ,マイレシピ,その他５,丼物・ごはんもの,肉（鶏）,醤油,その他,,,和,,,30,605.542,21.891,21.252,82.81,1.823,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2026/2/6,,ビビンバ,,300,,本登録,通常レシピ,マイレシピ,ご飯もの,丼物・ごはんもの,肉（その他）,その他,ごま,,,韓国,,,30,464.902,14.182,8.154,82.105,2.238,,,,,,,,○,,,,,CTM/attachment/201604181812363993a3ebe4d-d9a4-49db-9be0-5e4b2a4f6b95/10080176-2
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/2/2,,台湾ラーメン,,300,,本登録,通常レシピ,全社レシピ,中華麺,麺類,加工ミンチ製品,設定なし,ピリ辛,,設定なし,中華,,設定なし,30,480.905,24.765,11.77,70.367,12.9,,,,,,,,○,,,,,CTM/attachment/201604071607121721b342457-0e26-407f-9ffb-a5c671afd66e/15111144-28
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/2/3,,辛口メンマラーメン,,300,,本登録,通常レシピ,全社レシピ,中華麺,麺類,加工ミンチ製品,味噌,ピリ辛,,,中華,,,25,401,37.11,15.23,65.305,7.275,,,,,,,,○,,,○,,CTM/attachment/20210628094257318ffb864d-6dfb-42ce-bda9-86610185e26f/IMG_0023
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/2/4,,味噌ラーメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,味噌,その他,,,中華,,,20,406.22,36.512,11.272,75.106,8.034,,,,,,,,○,,○,,,CTM/attachment/20160421180413249843fc3fb-30db-4d2c-b717-4d02f02b8384/21000044-7
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/2/5,,肉うどん,,300,,本登録,通常レシピ,マイレシピ,和麺,麺類,肉（その他）,その他,その他,,,和,,,20,451.72,15.376,14.296,65.077,6.93,,,,,,,,○,,,,,CTM/attachment/2016040810041059672065195-96cb-4c4b-8518-b5aea3103f0e/肉うどん
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/2/6,,四川風とき玉ラーメン,,300,,本登録,通常レシピ,全社レシピ,中華麺,麺類,卵・卵製品,その他,ピリ辛,,設定なし,中華,,設定なし,25,568.25,27.736,23.551,61.557,10.59,,,,,,,,○,,○,,,CTM/attachment/20160407161817596ca406e57-ff19-4e8c-b57f-9cfc3f755c88/15111144-45
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/2/2,,キムチ入り肉じゃが,,1,,本登録,通常レシピ,全社レシピ,温小鉢,煮物,いも類（こんにゃく含む）,設定なし,ピリ辛,,,その他,,設定なし,20,258.784,6.472,13.651,27.342,1.82,,,,,,,,○,,,,,CTM/attachment/201602041452422204a1f8b6f-6363-40c1-956e-a4e9e0712c68/00140028-8
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/2/3,,シューマイ天ぷら,,1,,本登録,通常レシピ,マイレシピ,その他２,蒸物,肉（その他）,設定なし,その他,,,中華,,,20,135.32,3.777,7.756,12.573,0.737,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/2/4,,麻婆白菜,,1,,本登録,通常レシピ,マイレシピ,温小鉢,煮物,野菜,その他,ピリ辛,冬,,中華,,,20,131.911,6.545,10.236,4.471,0.747,,,,,,,,○,,,,,CTM/attachment/20160412145802667615bfb05-8bc5-4375-9d1e-2d7ebc5205b2/02010127-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/2/5,,揚げだし豆腐,,1,,本登録,通常レシピ,マイレシピ,その他２,揚物,豆・豆製品,設定なし,その他,,,和,,,16,166.635,5.861,10.562,12.323,0.789,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/2/6,,ごぼうと牛肉のきんぴら,,1,,本登録,通常レシピ,全社レシピ,温小鉢,炒物,野菜,その他,ごま,,設定なし,和,,設定なし,20,170.285,4.53,11.578,11.995,1.063,,,,,,,,○,,,,,CTM/attachment/20160411173527383d3261212-6f40-4e05-aa38-2782326036d4/04010440-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/2/2,,法蓮草と玉子の和え物,,1,,本登録,通常レシピ,全社レシピ,冷小鉢,和え物・酢の物,野菜,その他,その他,,設定なし,和,,設定なし,20,68.9,6.38,3.343,4.048,1.036,,,,,,,,○,,○,,,CTM/attachment/201604151519268195e827445-4ac2-49f1-84ea-f98f62f6957f/06010310-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/2/3,,糸こん・鶏肉・ごぼうの炒め煮,,1,,本登録,通常レシピ,マイレシピ,温小鉢,煮物,野菜,その他,その他,,,和,,テーマ別健康メニュー,20,128.58,4.405,7.913,10.99,0.766,,,,,,,,○,,,,,CTM/attachment/2016020309162159370cce4ea-cdc4-4fe9-a6c3-b384abe8cbb8/00140021-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/2/4,,フライドポテト,,1,,本登録,通常レシピ,マイレシピ,温小鉢,揚物,いも類（こんにゃく含む）,塩,,,,,,,20,164.57,1.75,10.5,15.4,0.263,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/2/5,,人参のヨーグルトサラダ（ｴｺﾒﾆｭｰ）,,1,,本登録,通常レシピ,全社レシピ,サラダ,サラダ,野菜,マヨネーズ,,,,洋,,エコ,15,82.89,1.25,5.85,6.867,0.558,,,,,,,,,,,○,,CTM/attachment/20160418145647259b0bceeae-be52-46b1-a296-ee5ef33bb73f/ごままよ
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/2/6,,うずら卵フライ,,1,,本登録,通常レシピ,マイレシピ,中鉢１,揚物,加工野菜製品,,,,,,,,20,162.768,8.42,8.04,13.2,0.64,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2026/2/2,,スモークチキンのサラダ,,1,,本登録,通常レシピ,マイレシピ,サラダ,サラダ,野菜,酢・ドレ,その他,春,,洋,,設定なし,20,88.1,5.281,3.541,9.322,1.846,,,,,,,,○,,,,,CTM/attachment/20160419183153957863f4e06-1afb-46d0-8abc-4b86ce8c7594/09010303-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2026/2/3,,スパゲティサラダ,,1,,本登録,通常レシピ,マイレシピ,サラダ,サラダ,その他,マヨネーズ,その他,,,設定なし,,設定なし,20,112.15,2.578,7.308,9.623,0.525,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2026/2/4,,マカロニサラダ,,1,,本登録,通常レシピ,全社レシピ,冷小鉢,サラダ,加工ミンチ製品,マヨネーズ,その他,,,イタリアン,,設定なし,20,165.5,3.63,7.97,20.14,0.47,,,,,,,,○,,○,,,CTM/attachment/20160421171847824b9450607-ec3e-4e09-b3de-b2ec8a5ca04c/09666666-47
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2026/2/5,,さつま芋と南瓜のﾏﾖﾚﾓﾝｿｰｽ,,1,,本登録,通常レシピ,全社レシピ,温小鉢,和え物・酢の物,いも類（こんにゃく含む）,マヨネーズ,その他,,,洋,,テーマ別健康メニュー,15,254.5,2.258,14.409,31.504,0.567,,,,,,,,,,○,○,,CTM/attachment/20160204170713345fdefcef7-01af-4fc5-8c3b-7ab298566847/さつま芋
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2026/2/6,,里芋のツナマヨ和え,,1,,本登録,通常レシピ,マイレシピ,冷小鉢,和え物・酢の物,いも類（こんにゃく含む）,マヨネーズ,その他,冬,,和,,パート事業所向けレシピ,20,151.9,4.966,10.362,10.09,0.324,,,,,,,,,,○,,,CTM/attachment/201611161516194055950dbb4-36b1-4868-94fd-3968e054a350/２１里芋のツナマヨ
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2026/2/2,,ぶどうゼリー,,1,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,その他,その他,,設定なし,洋,,設定なし,20,87.9,0.215,1.355,18.795,0.055,,,,,,,,,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2026/2/3,,アップルムース,,1,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,その他,その他,,設定なし,洋,,設定なし,20,80.05,1.37,2.645,12.875,0.15,,,,,,,,,,,○,,CTM/attachment/20160407113026985c1562f95-8003-4012-9c15-5cf262cd5049/13111111-65
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2026/2/4,,マンゴーヨーグルト,,1,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,その他,その他,,設定なし,洋,,設定なし,20,88.84,2.54,2.1,14.962,0.08,,,,,,,,,,,○,,CTM/attachment/201604071524001996f4223c6-1057-44f1-91f8-e047aa165a65/13999999-66
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2026/2/5,,バナナババロア,,1,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,その他,その他,,設定なし,その他,,設定なし,15,54.95,1.295,1.365,9.38,0.175,,,,,,,,,,,○,,CTM/attachment/201604071038095913fe40bd6-f7d9-4632-b1ac-68c82e21a4f3/13111111-82
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2026/2/6,,コーヒーゼリー,,1,,本登録,通常レシピ,全社レシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,その他,その他,,設定なし,洋,,設定なし,20,86.76,0.317,1.364,18.387,0.136,,,,,,,,,,,○,,CTM/attachment/201604071136092881b6e19d1-6125-4271-bf1a-d835365be6d6/13111111-59
1140-00,豊橋技術科学大学 食堂,夕食,定食,2026/2/2,,ガーリックペッパーチキン,,360,,本登録,通常レシピ,本部レシピ,肉メイン１,焼物,肉（鶏）,その他,にんにく,,設定なし,その他,,,70,291.94,21.994,20.764,5.518,1.736,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,夕食,定食,2026/2/3,,ハンバーグタルタル焼き,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,加工ミンチ製品,マヨネーズ,その他,,,洋,,設定なし,70,262.186,14.998,16.047,14.263,1.567,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,夕食,定食,2026/2/4,,カニクリームコロッケイカフライ,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚以外の魚介・練り製品,その他,その他,,,,,,70,349.74,12.5,20.88,26.88,0.84,,,,,,○,○,○,,,○,,
1140-00,豊橋技術科学大学 食堂,夕食,定食,2026/2/5,,チキンカツ,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,加工肉製品,,,,,,,,70,294.22,17.055,14.98,21.785,0.725,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,夕食,定食,2026/2/6,,さばの生姜おろし煮,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,煮物,魚,醤油,しょうが,,,和,,,70,312.663,15.166,21.557,12.574,1.469,,,,,,,,○,,,,,
