事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2026/2/16,,オムレツ＆ハムソテー,,200,,本登録,通常レシピ,本部レシピ,その他２,焼物,卵・卵製品,設定なし,,,,,,,,105.611,8.832,4.323,7.14,1.476,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2026/2/16,,目玉焼き,,200,,本登録,通常レシピ,マイレシピ,ガロニ１,焼物,卵・卵製品,設定なし,,,,,,,,85.083,6.155,6.153,0.232,0.2,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2026/2/16,,ポテトサラダ,,200,,本登録,通常レシピ,全社レシピ,サラダ,サラダ,いも類（こんにゃく含む）,その他,その他,,,洋,,設定なし,,62.05,1.005,2.925,7.965,0.515,,,,,,,,,,○,,,CTM/attachment/2016040518185527800deee31-393e-4f8b-8b3f-68d81511926d/09666666-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/2/16,,チキンソテー和風玉葱ソース,,360,,本登録,通常レシピ,本部レシピ,肉メイン１,揚物,肉（鶏）,その他,その他,,,和,,,,311.284,23.891,23.307,2.842,2.059,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/2/17,,シーフードＭＩＸフライ,,360,,本登録,通常レシピ,本部レシピ,魚メイン１,揚物,その他,設定なし,その他,,,洋,,,,508.01,18.05,34.155,29.615,1.745,,,,,,○,○,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/2/18,,チキンレモンペッパー焼き,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（鶏）,酢・ドレ,ピリ辛,,設定なし,イタリアン,,設定なし,,259.4,16.97,21.47,0.61,1.54,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/2/19,,酢豚のオニオンサラダ仕立て,,360,,本登録,通常レシピ,全社レシピ,サラダ,サラダ,肉（豚）,酢・ドレ,その他,,,イタリアン,,テーマ別健康メニュー,,382.365,17.443,26.007,16.468,3.087,,,,,,,,○,,○,,,CTM/attachment/20160217135627535dfa98379-8dd8-4894-83f2-be94e1c0260e/00140038-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/2/20,,ささみの磯辺天ぷら天つゆあん,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,設定なし,その他,,設定なし,和,,設定なし,,414.985,33.769,13.813,39.795,1.904,,,,,,○,○,○,,,,,CTM/attachment/20160407163522754256a4f7e-c5c6-4f6b-ad1b-2fff5bc082ba/01040340-2
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/2/16,,バサの七味から揚げ,,360,,本登録,通常レシピ,マイレシピ,魚メイン２,揚物,魚,酢・ドレ,ピリ辛,,,和,,設定なし,,254.012,17.545,15.967,7.515,1.699,,,,,,,,○,,,,,CTM/attachment/201604071551233548ce78daa-dec5-4cce-a112-341bd54620d6/01040310-2
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/2/17,,かれいの煮付け,,360,,本登録,通常レシピ,本部レシピ,魚メイン１,煮物,魚,醤油,その他,,,和,,おすすめ旬,,197.313,26.65,5.384,10.883,1.85,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/2/18,,カジキマグロカツオーロラソース,,360,,本登録,通常レシピ,全社レシピ,魚メイン１,揚物,魚,マヨネーズ,その他,,設定なし,設定なし,,設定なし,,386.73,14.077,24.268,27.544,1.67,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/2/19,,ホキの明太マヨネーズ焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,マヨネーズ,その他,,設定なし,設定なし,,,0,268.961,17.822,19.551,3.193,1.666,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/2/20,,さばの照り煮,,360,,本登録,通常レシピ,全社レシピ,魚メイン１,煮物,魚,その他,その他,,,和,,,,324.21,15.085,21.51,14.669,1.779,,,,,,,,○,,,,,CTM/attachment/20160411141318545d35fdc99-96b3-4f90-867e-fc1ccf4f9e9b/02111111-7
1140-00,豊橋技術科学大学 食堂,昼食,バラエティ,2026/2/16,,ソースカツ丼,,300,,本登録,通常レシピ,全社レシピ,ご飯もの,丼物・ごはんもの,肉（豚）,設定なし,その他,,,和,,,,745.457,21.394,19.659,114.214,2.569,,,,,,,,○,,○,,,CTM/attachment/20160407172211810ff2646ca-2acd-4746-8565-f1f9623a930e/10999999-10
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/2/16,,黒芝麻坦坦麺,,550,,本登録,通常レシピ,全社レシピ,中華麺,麺類,肉（豚）,醤油,,,,中華,,フェア,50,621.552,23.869,28.476,70.305,6.806,,,,,,,,○,,,○,○,CTM/attachment/20250919171809846943de7b3-87e5-405f-8f11-37af41dcf85f/IMG_0197
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/2/17,,豚骨ラーメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,その他,その他,,,中華,,,,380.75,34.335,11.33,70.34,6.61,,,,,,,,○,,○,,,CTM/attachment/201604071603512770c0ad5a-90bc-4dd2-8b2f-13dc688d3468/15111144-22
