事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/2/24,,豚カツ,,360,,本登録,通常レシピ,全社レシピ,その他１,揚物,肉（豚）,その他,その他,,,洋,,,,333.72,14.04,18.72,25.44,1.08,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/2/25,,鶏肉の塩だれ揚げ,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,塩,その他,,,和,,,,386.561,20.289,32.331,5.404,1.359,,,,,,,,○,,,,,CTM/attachment/2016041913402642b3d1f3bb-9dd4-4bfa-b298-4be7953db3b1/03020104-2
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/2/26,,豚生姜焼きのせ豆腐,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,豆・豆製品,醤油,しょうが,,,中華,,設定なし,,378.815,24.883,25.502,13.963,1.465,,,,,,,,○,,,,,CTM/attachment/20160408115428771dce625f1-a22b-4d81-95d1-3fe6b66c685c/03070028-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/2/27,,メンチカツ,,360,,本登録,通常レシピ,マイレシピ,その他２,揚物,肉（その他）,,,,設定なし,設定なし,,設定なし,,283.32,10.68,16.32,22.08,1.32,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/2/24,,さばの胡麻焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,設定なし,ごま,,,,,,,313.65,16.8,26.83,5.235,1.135,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/2/25,,白身魚のクリーム煮,,360,,本登録,通常レシピ,本部レシピ,魚メイン１,焼物,魚,ホワイト・牛乳,その他,秋,,洋,,テーマ別健康メニュー,,290.518,17.698,16.31,22.887,1.83,,,,,,×,×,○,×,×,○,×,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/2/26,,ホキの天ぷら甘酢あんかけ,,360,,本登録,通常レシピ,マイレシピ,魚メイン２,焼物,魚,その他,にんにく,夏,設定なし,洋,,設定なし,,379.8,20.92,12.098,45.804,1.749,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/2/27,,赤魚の煮付け,,360,,本登録,通常レシピ,本部レシピ,魚メイン１,煮物,魚,その他,その他,,,和,,設定なし,,141.709,18.18,3.423,8.149,1.405,,,,,,,,○,,,,,CTM/attachment/2016040615060218550b28dba-a2fb-472d-8c10-e5469d1f36d4/02111111-23
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/2/24,,天津麺,,300,,本登録,通常レシピ,全社レシピ,中華麺,麺類,卵・卵製品,醤油,その他,,,中華,,,,517.85,42.733,25.091,61.588,7.565,,,,,,,○,○,,○,○,,CTM/attachment/20210628103249519f070adbe-d503-4f46-b73d-7fc15e20d2f1/IMG_0042
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/2/25,,豚骨台湾ラーメン,,300,,本登録,通常レシピ,全社レシピ,中華麺,麺類,肉（豚）,その他,ピリ辛,,設定なし,その他,,調理技術勉強会,,527.995,24.099,16.489,73.999,7.622,,,,,,,,○,,,,,CTM/attachment/201604071602042485567afb4-0f6a-4801-aac8-26a70c35ed99/15111144-20
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/2/26,,かき揚げそば,,300,,本登録,通常レシピ,マイレシピ,和麺,麺類,その他,醤油,その他,,設定なし,,,,,607.867,16.92,23.585,81.678,5.521,,,,,,,,○,○,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/2/27,,担々麺,,300,,本登録,通常レシピ,本部レシピ,中華麺,麺類,その他,設定なし,ピリ辛,,,中華,,設定なし,,686.262,31.272,30.953,72.95,7.231,,,,,,,,○,,○,,○,CTM/attachment/2017020609202333624740f71-2ebf-4f8b-a9e2-da09a2b8bacf/15111144-17
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/2/24,,ﾌﾞﾛｯｺﾘｰとﾍﾞｰｺﾝのﾏﾖﾈｰｽﾞ炒め,,1,,本登録,通常レシピ,マイレシピ,温小鉢,炒物,野菜,マヨネーズ,その他,冬,設定なし,洋,,設定なし,,179.26,4.378,17.484,2.468,0.797,,,,,,,,,,○,○,,CTM/attachment/20160411170629227c2c8b008-f9a8-4408-b9a0-3f73af7c6b96/04010093-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/2/25,,南瓜ひき肉フライ,,1,,本登録,通常レシピ,マイレシピ,その他１,揚物,野菜,その他,その他,,,洋,,,,166.86,3.54,9,17.94,0.72,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/2/26,,カニクリームコロッケ,,1,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（鶏）,ホワイト・牛乳,その他,冬,,洋,,,,203.77,4.34,13.51,15.75,0.49,,,,,,○,○,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/2/27,,茄子のそぼろ煮,,1,,本登録,通常レシピ,全社レシピ,温小鉢,煮物,野菜,その他,その他,,,和,,設定なし,,145.845,8.323,2.809,24.362,2.606,,,,,,,,○,,,,,CTM/attachment/2016041214335699901e6016e-57fc-4132-a5cf-a23ead22366d/02010119-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/2/24,,肉豆腐,,1,,本登録,通常レシピ,本部レシピ,その他２,煮物,豆・豆製品,醤油,,,,和,,,,333.363,25.002,22.256,9.63,1.713,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/2/25,,麻婆春雨,,1,,本登録,通常レシピ,全社レシピ,肉メイン１,煮物,その他,設定なし,ピリ辛,,,中華,,設定なし,,296.436,9.283,15.16,32.385,2.333,,,,,,,,○,,,,,CTM/attachment/201604121509397020cf66f3-fdfb-4340-aaa6-b695da35c24a/02010128-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/2/26,,ふろふき大根,,1,,本登録,通常レシピ,マイレシピ,その他２,煮物,野菜,味噌,その他,,,和,,おすすめ旬,,85.815,2.661,1.157,17.617,2.193,,,,,,,,,,,,,CTM/attachment/20160128182901166c7295137-1a96-4b61-924b-78d426767a5c/ふろふき
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/2/27,,かぼちゃコロッケ,,1,,本登録,通常レシピ,全社レシピ,その他１,揚物,野菜,その他,その他,,,洋,,,,198.17,2.73,10.99,21.77,0.336,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2026/2/24,,ポテトサラダ,,1,,本登録,通常レシピ,マイレシピ,その他２,サラダ,いも類（こんにゃく含む）,その他,その他,,,洋,,設定なし,,122.3,1.44,7.66,12.74,0.383,,,,,,,,,,○,,,CTM/attachment/201604051822319289e4d09de-46fc-4afa-9898-af782eb60334/92444444-64
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2026/2/25,,たらこスパゲティサラダ,,1,,本登録,通常レシピ,全社レシピ,サラダ,サラダ,その他,マヨネーズ,その他,,,イタリアン,,設定なし,,132.332,2.949,9.08,9.743,1.212,,,,,,,,○,,○,,,CTM/attachment/20160421171159934bfc7967a-6ac5-43b1-a836-ff1340e743dc/09990301-2
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2026/2/26,,キャベツとキヌアのサラダ,,1,,本登録,通常レシピ,マイレシピ,サラダ,サラダ,野菜,酢・ドレ,,,,,,,,88.02,4.432,0.626,16.7,0.91,,,,,,,,○,,,,,CTM/attachment/20231127104149176231650c2-f65e-41eb-b750-c9f63f13d806/キヌア豆
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2026/2/27,,ハムもやしの中華和え,,1,,本登録,通常レシピ,マイレシピ,その他２,和え物・酢の物,野菜,,,,,,,,,72.805,3.604,4.32,6.413,0.971,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2026/2/24,,杏仁マンゴー,,1,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,その他,その他,,,洋,,設定なし,,75.4,0.62,0.83,16.78,0.05,,,,,,,,,,○,○,,CTM/attachment/20160407142601873bd71df3a-181c-4226-9266-49e34cfbbb76/13999999-3
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2026/2/25,,ヨーグルトババロア,,1,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,設定なし,その他,,設定なし,洋,,設定なし,,156.775,3.878,5.307,23.42,0.15,,,,,,,,,,,○,,CTM/attachment/201604071046036160a316664-1874-4305-bbed-d0281f80bf08/13111111-77
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2026/2/26,,オレンジムース,,1,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,その他,その他,,設定なし,洋,,設定なし,,78.4,1.37,2.49,12.87,0.25,,,,,,,,,,,○,,CTM/attachment/20160407112939831e92bb5db-dfe4-4409-aa1e-1c19bc99a4da/13111111-66
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2026/2/27,,わらび餅,,1,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,設定なし,その他,,設定なし,和,,設定なし,,162,1.884,0.582,37.746,0.03,,,,,,,,,,,,,CTM/attachment/20160407103956190550e963c-ddc5-4776-9fa8-b199aeaf2d13/13111111-80
1140-00,豊橋技術科学大学 食堂,夕食,定食,2026/2/24,,鶏肉のごま味噌焼き,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,焼物,肉（鶏）,味噌,ごま,,,和,,設定なし,,278.222,18.826,18.894,9.786,1.508,,,,,,,,,,,,,CTM/attachment/20160412180347621371372ee-e26a-4d98-81a7-6dd0cab9873d/03020077-1
1140-00,豊橋技術科学大学 食堂,夕食,定食,2026/2/25,,ポークミックスフライ(ﾛｰｽｶﾂ/ﾒﾝﾁ/ﾋﾚ),,360,,本登録,通常レシピ,本部レシピ,肉メイン１,揚物,その他,設定なし,その他,,,洋,,,,526.73,20.45,32.03,38.04,1.727,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,夕食,定食,2026/2/26,,さばの揚げ煮,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,煮物,魚,醤油,その他,,,和,,設定なし,,387.855,16.78,29.694,16.421,2.14,,,,,,,,○,,,,,
