事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/2,,タンドリーチキン,,360,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,その他,カレー,,設定なし,その他,,設定なし,80,242.488,20.752,17.53,1.813,0.896,,,,,,,,,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/3,,なめたけおろしハンバーグ,,360,,本登録,通常レシピ,本部レシピ,肉メイン１,焼物,肉（その他）,醤油,その他,秋,,洋,,,80,266.825,14.43,14.699,21.682,3.17,,,,,,,,○,,○,○,,CTM/attachment/20160705200328380e424278a-cd60-4f55-a37e-1580e1a7eaf2/_MG_3151
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/4,,オニ旨チキン,,360,,本登録,通常レシピ,マイレシピ,肉メイン２,揚物,肉（鶏）,ケチャップ・トマト,その他,,設定なし,その他,,設定なし,110,368.1,8.8,23.3,30.3,1.8,,,,,,,,○,,○,,,CTM/attachment/201604081422446523386c95f-1933-4134-9c57-38211d84cad7/01555555-13
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/5,,ポークステーキ,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,焼物,肉（豚）,その他,その他,,,洋,,,70,460.205,17.263,30.859,26.358,2.612,,,,,,,,○,,,,,CTM/attachment/20160419163901968607b7c98-5ccb-4723-9866-be0febf8b3e5/03020141-9
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/6,,チキンの明太マヨ焼き,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（鶏）,マヨネーズ,その他,,,和,,設定なし,80,476.471,19.154,41.982,6.632,1.387,,,,,,,,○,,○,,,CTM/attachment/201604191756484808b418d87-667e-47ad-9525-68970cdce134/03020305-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/2,,アジフライ大葉タルタルソース,,360,,本登録,通常レシピ,本部レシピ,魚メイン１,揚物,魚,マヨネーズ,その他,,,設定なし,,設定なし,70,455.206,14.915,34.447,18.734,1.474,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/3,,油淋魚（バサ）(ユーリンユイ),,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,酢・ドレ,ピリ辛,,設定なし,中華,,設定なし,70,351.705,20.27,14.826,30.783,1.71,,,,,,,,○,,,,,CTM/attachment/201601262056388296cac0841-a2cd-4087-a1db-bbae2997b748/00100053-2
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/4,,さばの味噌煮,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,煮物,魚,味噌,その他,秋,,和,,おすすめ旬,40,330.141,16.859,24.567,14.601,1.559,,,,,,,,○,,,,,CTM/attachment/20171101102449956a761c2ce-d7ed-45c7-8859-45d37200d12a/IMG_0536
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/5,,シーフードミックスフライ,,360,,本登録,通常レシピ,マイレシピ,肉メイン２,揚物,魚以外の魚介・練り製品,,,,,,,,80,385.72,20.46,20.71,29.23,1.59,,,,,,○,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/6,,ホキの洋風揚げオーロラソース,,360,,本登録,通常レシピ,マイレシピ,その他１,焼物,魚,その他,その他,,,洋,,調理技術勉強会,60,395.457,16.08,34.118,4.768,1.456,,,,,,,,○,,○,,,
