事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/9,,名古屋手羽先風唐揚げ,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,肉（鶏）,醤油,その他,,設定なし,和,愛知,,130,381.093,21.755,26.546,14.852,1.36,,,,,,,,○,,,,,CTM/attachment/20160119165651262dccfb36e-5a68-40ad-8e9c-c6b0257465ce/00100027-10
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/10,,豚肉のスタミナ焼き,,360,,本登録,通常レシピ,本部レシピ,肉メイン１,焼物,肉（豚）,醤油,その他,,,,,,90,332.62,22.126,24.988,6.418,1.776,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/11,,さっぱりチキン,,360,,本登録,通常レシピ,マイレシピ,その他５,揚物,肉（鶏）,酢・ドレ,その他,,,洋,,設定なし,90,432.972,21.725,31.938,15.57,1.622,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/12,,ハンバーグデミソース,,360,,本登録,通常レシピ,マイレシピ,弁当１,焼物,加工ミンチ製品,デミグラス,その他,,,洋,,,120,287.489,15.775,16.008,20.935,2.254,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/13,,豚肉の唐揚げ焼肉のたれ風味,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,揚物,肉（豚）,醤油,にんにく,,,,,,110,462.755,19.385,28.604,33.747,2.033,,,,,,,,○,,○,,,CTM/attachment/20241201234040415a1cfb10f-b6a5-4ef6-8e61-75261d4febb3/20241118_0053
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/9,,めばるの香草パン粉焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,その他,香草・しそ,,,洋,,,50,151.842,18.898,4.619,9.319,1.294,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/10,,ホキの天ぷら和風ドレッシングソース,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,肉（その他）,酢・ドレ,その他,,,和,,設定なし,90,230.18,18.13,14.689,6.392,1.294,,,,,,,,○,,,○,,CTM/attachment/201604202118574944c6e7eb1-ab05-43d0-8bc0-356e31f43da9/03030002-20
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/11,,バサのムニエルトマトクリームソース,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,ケチャップ・トマト,,,,洋,,,60,335.844,20.853,21.18,17.271,1.115,,,,,,,,○,,,○,,CTM/attachment/20210804115711184eb315d10-3323-48ca-a89f-6b873d199f38/タラのムニエルトマトクリームソース
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/12,,タラフライトマトソース,,360,,本登録,通常レシピ,本部レシピ,魚メイン１,揚物,魚,ケチャップ・トマト,その他,,,設定なし,,設定なし,60,304.208,15.74,15.463,24.731,1.627,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/13,,さばの中華煮,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,煮物,魚,その他,その他,秋,,中華,,,70,439.722,16.547,37.267,5.9,2.516,,,,,,,,○,,,○,,CTM/attachment/20160414164707358c2e3c024-8b7f-4d7a-9f27-e20fe7e43847/02040002-3
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/3/9,,醤油ラーメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,醤油,その他,,,中華,,,30,381.55,16.03,4.54,70.7,6.51,,,,,,,,○,,○,,,CTM/attachment/20160407154844554007a038d-f638-4fb7-be1c-a49635deab4e/15111144-2
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/3/10,,豚骨台湾ラーメン,,300,,本登録,通常レシピ,全社レシピ,中華麺,麺類,肉（豚）,その他,ピリ辛,,設定なし,その他,,調理技術勉強会,50,527.995,24.099,16.489,73.999,7.622,,,,,,,,○,,,,,CTM/attachment/201604071602042485567afb4-0f6a-4801-aac8-26a70c35ed99/15111144-20
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/3/11,,まろやか味噌ラーメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,味噌,その他,,設定なし,和,,設定なし,30,412.25,18.59,4.24,77.74,7.11,,,,,,,,○,,○,,,CTM/attachment/20160407163309778b6c876b5-13c3-4c32-9a09-29d42863cf01/15111144-65
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/3/12,,塩野菜ラーメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,塩,その他,,,中華,,,30,383.7,35.445,10.875,71.51,8.69,,,,,,,,○,,○,○,,CTM/attachment/20160407155023220bc060e36-c80c-4499-856c-152cef26fec3/15111144-5
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/3/13,,胡麻タンメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,その他,ごま,,,中華,,,30,489.39,20.282,13.758,73.955,7.354,,,,,,,,○,,○,,,CTM/attachment/2016040716120531cf752bec-9b69-44ef-b624-737e2c39b2a8/15111144-35
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/3/9,,豚肉と白菜のキムチ煮,,1,,本登録,通常レシピ,マイレシピ,温小鉢,煮物,野菜,設定なし,ピリ辛,冬,設定なし,韓国,,設定なし,25,54.154,2.713,2.328,5.85,0.999,,,,,,○,,○,,,,,CTM/attachment/20160412163309334b5b3e25e-deb8-4edd-bb84-0aaf6e5b0a94/02010314-2
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/3/10,,長芋と茄子の揚げ出し,,1,,本登録,通常レシピ,マイレシピ,温小鉢,揚物,いも類（こんにゃく含む）,その他,その他,秋,,和,,おすすめ旬,20,127.35,2.417,5.147,18.947,0.765,,,,,,,,○,,,,,CTM/attachment/20160128182444304aa057581-d51e-459e-960a-0b4b0d16d003/里芋
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/3/11,,しらたきたっぷり肉じゃが,,1,,本登録,通常レシピ,全社レシピ,肉メイン１,煮物,いも類（こんにゃく含む）,設定なし,その他,,設定なし,和,,テーマ別健康メニュー,20,119.99,5.461,5.61,12.704,0.869,,,,,,,,○,,,,,CTM/attachment/20160204202840516e6e568a2-0566-44e6-84d3-76fbccaf5349/00140041-29
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/3/12,,カレーコロッケ,,1,,本登録,通常レシピ,全社レシピ,その他１,揚物,いも類（こんにゃく含む）,その他,カレー,,,洋,,,20,179.97,3.15,9.1,21.07,0.35,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/3/13,,鶏肉とじゃが芋の和風煮,,1,,本登録,通常レシピ,マイレシピ,その他２,煮物,野菜,酢・ドレ,その他,夏,,洋,,,20,132.64,8.122,5.764,13.208,1.192,,,,,,,,○,,,,,CTM/attachment/2016041218251855638c36655-2149-418c-9903-c5e2ebaae0da/09010049-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/3/9,,牛肉コロッケ,,1,,本登録,通常レシピ,全社レシピ,その他１,揚物,いも類（こんにゃく含む）,その他,その他,,,洋,,,15,170.87,3.08,9.24,18.62,0.49,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/3/10,,じゃがミンチ煮,,1,,本登録,通常レシピ,全社レシピ,温小鉢,煮物,いも類（こんにゃく含む）,その他,その他,,,和,,,20,175.416,5.847,4.19,29.379,2.117,,,,,,,,○,,,,,CTM/attachment/201604172038176123c1f2bd-61e3-4ef9-b1af-0eef9d37f9bb/02222222-67
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/3/11,,桜えび入りクリーミィコロッケ,,1,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚以外の魚介・練り製品,ホワイト・牛乳,,,設定なし,和,静岡,,20,356.535,5.4,24.03,27.27,0.945,,,,,,○,,○,,○,○,,CTM/attachment/20180202181855634432c87ff-1b07-4492-bdc1-f80221cb77b1/駿河湾産桜えび入りクリーム
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/3/12,,白菜とベーコンのみぞれ煮,,1,,本登録,通常レシピ,マイレシピ,その他２,煮物,野菜,設定なし,その他,冬,,和,,おすすめ旬,20,78.5,2.705,5.97,4.64,0.975,,,,,,,,○,,○,○,,CTM/attachment/20160201102513413b105c120-e4d6-4d3d-b76a-bf005ecab03d/00130023-21
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/3/13,,肉団子と茄子の甘酢あん,,1,,本登録,通常レシピ,本部レシピ,温小鉢,その他,肉（その他）,酢・ドレ,その他,,設定なし,中華,,設定なし,20,175.672,8.172,9.501,13.375,1.074,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2026/3/9,,栗かぼちゃサラダ,,1,,本登録,通常レシピ,全社レシピ,サラダ,サラダ,野菜,その他,その他,,,洋,,設定なし,20,97.4,0.958,4.938,12.418,0.42,,,,,,,,,,○,,,CTM/attachment/20160405182807963a12dc475-154a-41fe-98de-55d76403122d/09010317-2
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2026/3/10,,春雨サラダ,,1,,本登録,通常レシピ,マイレシピ,その他２,サラダ,加工ミンチ製品,酢・ドレ,その他,,設定なし,設定なし,,設定なし,20,98.485,1.316,2.067,18.661,0.934,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2026/3/11,,小松菜とひじきの胡麻和え,,1,,本登録,通常レシピ,マイレシピ,冷小鉢,和え物・酢の物,海藻・きのこ,酢・ドレ,,,,,,,20,39.698,1.584,1.602,6.358,0.88,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2026/3/12,,キャベカニマヨサラダ,,1,,本登録,通常レシピ,マイレシピ,その他２,和え物・酢の物,野菜,設定なし,ピリ辛,春,,洋,,設定なし,20,94.95,2.255,7.745,4.57,0.41,,,,,,○,○,○,,○,○,,CTM/attachment/20160418180555566d7eeb0b0-2634-476b-8f3b-89867f315c03/06050014-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2026/3/13,,ハムサラダ,,1,,本登録,通常レシピ,マイレシピ,サラダ,サラダ,肉（その他）,その他,その他,,,洋,,設定なし,20,39.45,3.975,0.68,5.625,0.35,,,,,,,,,,○,○,,CTM/attachment/201604121819016875c9fd05-555f-444c-bbc6-f0ba451ca016/09010042-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2026/3/9,,ストロベリーババロア,,1,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,設定なし,その他,,設定なし,洋,,設定なし,20,91.57,2.087,3.222,13.553,0.076,,,,,,,,,,,○,,CTM/attachment/20160407104723671edac6587-7387-40f8-8a0c-e3de5038ebd0/13111111-76
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2026/3/10,,オレンジヨーグルト,,1,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,その他,その他,,,洋,,設定なし,20,61.94,1.56,1.23,11.582,0.04,,,,,,,,,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2026/3/11,,パイナップルムース,,1,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,その他,その他,,設定なし,洋,,設定なし,20,64.8,0.895,2.07,10.835,0.27,,,,,,,,,,,○,,CTM/attachment/201604071053035470cd49e5e-d835-48ad-80de-551d162150be/13111111-69
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2026/3/12,,なめらか杏仁豆腐,,1,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,ホワイト・牛乳,その他,,,中華,,設定なし,20,73.05,1.735,1.78,12.5,0.055,,,,,,,,,,,○,,CTM/attachment/20160407120835694aa184847-caa7-4d47-b21b-5d918aef555f/13111111-4
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2026/3/13,,チョコレートプリン,,1,,本登録,通常レシピ,マイレシピ,その他２,ﾃﾞｻﾞｰﾄ,その他,設定なし,その他,,設定なし,洋,,設定なし,20,144.225,3.665,5.36,20.362,0.145,,,,,,,,,,,○,,CTM/attachment/20160407104723671edac6587-7387-40f8-8a0c-e3de5038ebd0/13111111-76
1140-00,豊橋技術科学大学 食堂,夕食,定食,2026/3/9,,イカフリッターチリソース,,360,,本登録,通常レシピ,マイレシピ,その他５,揚物,魚以外の魚介・練り製品,設定なし,ピリ辛,,,,,設定なし,70,223.24,12.668,8.277,22.862,1.062,,,,,,,,○,,,,,CTM/attachment/201604071821186768ae170b8-2715-4f28-96f1-6bd4a9ebb8c9/01050051-1
1140-00,豊橋技術科学大学 食堂,夕食,定食,2026/3/10,,さばソテー,,360,,本登録,通常レシピ,全社レシピ,魚メイン１,焼物,魚,酢・ドレ,その他,秋,,洋,,テーマ別健康メニュー,70,368.09,13.414,28.796,10.792,1.297,,,,,,,,○,,,,,CTM/attachment/201602040928269269069181c-7b5d-44bd-91c5-300f9194ddcc/00140027-2
1140-00,豊橋技術科学大学 食堂,夕食,定食,2026/3/11,,豚カツ,,360,,本登録,通常レシピ,全社レシピ,その他１,揚物,肉（豚）,その他,その他,,,洋,,,70,333.72,14.04,18.72,25.44,1.08,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,夕食,定食,2026/3/12,,ホキのふわふわエッグ焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,ケチャップ・トマト,その他,,,,,,70,348.632,21.85,19.222,18.519,1.715,,,,,,,,○,,○,○,,CTM/attachment/201701171106418469b7d0c01-f22e-4210-a4e5-e50325ee26e6/_MG_5848
1140-00,豊橋技術科学大学 食堂,夕食,定食,2026/3/13,,ささみの天ぷら天つゆあん,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,設定なし,その他,,設定なし,和,,設定なし,70,413.685,33.548,13.807,39.378,1.805,,,,,,,,○,,,,,CTM/attachment/20160407163522754256a4f7e-c5c6-4f6b-ad1b-2fff5bc082ba/01040340-2
