事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/16,,チキンカツピザ風味,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,揚物,肉（鶏）,ケチャップ・トマト,チーズ,,,イタリアン,,設定なし,,454.678,31.294,23.863,29.843,1.429,,,,,,,,○,,○,○,,CTM/attachment/20160404175037675f9dcf55-4ac2-4cab-a117-4af6782cc2f4/01020200-61
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/17,,野菜たっぷり豚しゃぶごま豆乳ソース,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,蒸物,肉（豚）,設定なし,ごま,夏,設定なし,和,,設定なし,80,303.82,7.952,26.037,9.193,2.749,,,,,,,,○,,○,,,CTM/attachment/201604121549209795478f5a7-a12b-45fb-96fb-765f61f8f5cf/05111111-10
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/18,,揚げ鶏のﾏﾖ粒ﾏｽﾀｰﾄﾞはちみつ風味,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,揚物,肉（鶏）,マヨネーズ,その他,,,洋,,,150,631.504,22.148,54.607,13.776,1.528,,,,,,,,○,,○,○,,CTM/attachment/2016040117051478156618b03-7728-44a0-91ff-b3fde5b8044e/01020088-3
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/19,,照り焼きチキン大葉タルタルソース,,360,,本登録,通常レシピ,本部レシピ,肉メイン１,焼物,肉（鶏）,醤油,香草・しそ,,設定なし,その他,,設定なし,80,398.475,21.473,31.668,8.145,1.633,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/16,,ホキの葱味噌焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,味噌,その他,,,,,,,111.047,15.514,1.865,6.927,2.126,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/17,,白身魚(メルルーサ)と彩り野菜の甘酢煮,,360,,本登録,通常レシピ,全社レシピ,魚メイン１,煮物,魚,酢・ドレ,その他,,,和,,テーマ別健康メニュー,70,218.642,14.762,7.386,23.554,1.497,,,,,,,,○,,,,,CTM/attachment/20160202134240756e100c679-50ea-4a57-851d-1e3c61e78247/メル
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/18,,赤魚の煮付け,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,煮物,魚,その他,その他,,,和,,設定なし,80,130.54,14.558,2.763,10.549,1.684,,,,,,,,○,,,,,CTM/attachment/20160406150448360ecf1d935-4051-4c52-8b09-15c607d3203b/02111111-22
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/19,,ホキの天ぷらバター醤油,,360,,本登録,通常レシピ,マイレシピ,魚メイン２,焼物,魚,設定なし,その他,秋,,和,,,70,283.725,19.04,16.569,13.013,2.507,,,,,,,,○,,,,,CTM/attachment/201604211147166173e817e95-358b-49d5-9643-19f1cf24bae6/03040003-3
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/3/16,,カレーラーメン,,300,,本登録,通常レシピ,全社レシピ,中華麺,麺類,加工ミンチ製品,その他,カレー,,,中華,,,,638.367,41.299,32.599,74.857,7.569,,,,,,,,○,,○,○,,CTM/attachment/201604071612478061e0c01b5-af07-4e9b-9eaa-6beda8027a35/15111144-37
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/3/17,,きつねとろろきしめん,,300,,本登録,通常レシピ,全社レシピ,和麺,麺類,いも類（こんにゃく含む）,設定なし,その他,,,和,,設定なし,30,402.981,12.345,3.559,82.876,8.203,,,,,,,,○,,,,,CTM/attachment/2016041112182670863fcabbc-4fe2-4c1a-ac55-0b008dfeb457/月見きつね
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/3/18,,豚骨ラーメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,その他,その他,,,中華,,,40,380.75,34.335,11.33,70.34,6.61,,,,,,,,○,,○,,,CTM/attachment/201604071603512770c0ad5a-90bc-4dd2-8b2f-13dc688d3468/15111144-22
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/3/19,,味噌ラーメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,味噌,その他,,,中華,,,30,406.22,36.512,11.272,75.106,8.034,,,,,,,,○,,○,,,CTM/attachment/20160421180413249843fc3fb-30db-4d2c-b717-4d02f02b8384/21000044-7
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/3/16,,南瓜と糸こんの煮物,,1,,本登録,通常レシピ,マイレシピ,その他２,煮物,野菜,,,,,,,,,50.26,1.504,0.171,12.794,0.715,,,,,,,,○,,,,,CTM/attachment/2016070415121725595194684-510c-4add-b1b8-c721f47497a5/南瓜と糸こんの煮物
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/3/17,,蓮根とツナの炒め物,,1,,本登録,通常レシピ,マイレシピ,温小鉢,炒物,その他,塩,,,,,,,20,100.324,4.656,5.465,8.908,0.85,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/3/18,,ハムポテトフライ,,1,,本登録,通常レシピ,マイレシピ,その他１,揚物,いも類（こんにゃく含む）,その他,その他,,,洋,,,20,166.26,3.36,9.96,15.42,0.72,,,,,,,,○,,○,○,,CTM/attachment/201702081722087591f6691b7-8bfb-40de-b22d-bcace28a3da6/e3ad38453dd1d19cb2ca36798b2bc832
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/3/19,,れんこんと牛肉のきんぴら,,1,,本登録,通常レシピ,全社レシピ,温小鉢,炒物,野菜,その他,ごま,,設定なし,和,,設定なし,15,170.115,4.39,11.52,12.051,1.053,,,,,,,,○,,,,,CTM/attachment/201604081818585106aeea5e-c4fb-47ba-97ae-9e5d4f3f1c1c/04010021-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/3/16,,揚げ茄子キムチ,,1,,本登録,通常レシピ,全社レシピ,冷小鉢,揚物,野菜,設定なし,ピリ辛,,設定なし,その他,,設定なし,,87.52,1.349,6.985,5.642,0.946,,,,,,,,○,,,,,CTM/attachment/20160404125605933d50cb97f-9cda-40af-af39-8bd659d340bd/01010010-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/3/17,,昆布と大豆の田舎煮,,1,,本登録,通常レシピ,マイレシピ,温小鉢,煮物,豆・豆製品,その他,その他,,,和,,設定なし,20,113.9,7.985,4.287,12.309,0.921,,,,,,,,○,,,,,CTM/attachment/201604121238216880e95b5ff-e3c4-4f4c-8386-0cd91c219d29/02080003-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/3/18,,ブロッコリーの中華カニカマあん,,1,,本登録,通常レシピ,マイレシピ,温小鉢,和え物・酢の物,野菜,その他,にんにく,,設定なし,洋,,からだ元気定食,20,34.07,2.835,0.269,5.997,0.578,,,,,,,○,○,,○,,,CTM/attachment/202011181623578815a63b4ff-a125-4e42-971b-50c4a5b40997/IMG_0135
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/3/19,,豆腐の旨煮,,1,,本登録,通常レシピ,マイレシピ,その他１,和え物・酢の物,豆・豆製品,酢・ドレ,その他,,,和,,,20,58.98,2.909,2.669,7.206,1.348,,,,,,,,○,,,○,,CTM/attachment/201604191819129867669562c-0944-4356-989e-9f2904ea0f25/06666666-7
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2026/3/16,,小松菜のピーナッツ和え,,1,,本登録,通常レシピ,全社レシピ,冷小鉢,和え物・酢の物,野菜,醤油,その他,冬,,和,,テーマ別健康メニュー,,76.17,3.634,4.042,8.085,0.688,,,,,,,,○,,,,○,CTM/attachment/20160203090534748c582ef33-6939-4d3c-8e6b-b42cfa41b15f/00140005-6
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2026/3/17,,もやしのごま酢和え,,1,,本登録,通常レシピ,マイレシピ,冷小鉢,和え物・酢の物,野菜,酢・ドレ,ごま,,設定なし,和,,,20,37.555,1.562,0.393,8.294,0.454,,,,,,,,○,,,,,CTM/attachment/2016020213434857956a94637-6c80-4e2a-8fda-34463d401705/もやし
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2026/3/18,,ごぼうサラダ,,1,,本登録,通常レシピ,全社レシピ,サラダ,サラダ,野菜,その他,その他,,,和,,設定なし,20,103.55,0.705,8.725,5.665,1.03,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH③,2026/3/19,,ハッシュドビーフコロッケ,,1,,本登録,通常レシピ,マイレシピ,アラカルト１,揚物,いも類（こんにゃく含む）,デミグラス,その他,,,,,,20,132.05,1.8,8.35,12,0.55,,,,,,,,○,,,○,,CTM/attachment/20161217133835720eeafc251-3c43-4301-922b-03067c815d8e/ハッシュドビーフ
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2026/3/16,,プリン,,1,,本登録,通常レシピ,全社レシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,その他,その他,,設定なし,洋,,設定なし,,125.18,3.219,4.839,17.192,0.149,,,,,,,,,,,○,,CTM/attachment/20160407105120481360437fd-0950-4819-b1eb-0c6598d03968/13111111-71
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2026/3/17,,ココナッツプリン,,1,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,ホワイト・牛乳,,,,,,,20,155.58,4.274,4.614,24.324,0.176,,,,,,,,,,,○,,CTM/attachment/20210816104723229ddcb0bc3-dba4-44e0-ba74-8f579a34343a/IMG_4872
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2026/3/18,,ピーチムース,,1,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,その他,その他,,設定なし,洋,,設定なし,20,61,1.07,1.18,11.54,0.144,,,,,,,,,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH④,2026/3/19,,マンゴープリン,,1,,本登録,通常レシピ,マイレシピ,デザート,ﾃﾞｻﾞｰﾄ,その他,その他,その他,,設定なし,中華,,設定なし,20,118.6,2.145,2.49,22.165,0.215,,,,,,,,,,,○,,CTM/attachment/20160407105031525e2702ed5-b177-4070-908c-55d07305b568/13111111-72
1140-00,豊橋技術科学大学 食堂,夕食,定食,2026/3/16,,バサのしそ天ぷら,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,その他,その他,,,和,,,,277.052,18.065,9.899,27.164,1.297,,,,,,,,○,,,,,CTM/attachment/201604041500589250e4ae4d4-bfcd-4bdb-b35d-20de638ad916/ホキ
1140-00,豊橋技術科学大学 食堂,夕食,定食,2026/3/17,,揚げ鶏のニラソース,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,揚物,肉（鶏）,酢・ドレ,その他,,,中華,,設定なし,100,409.855,18.154,26.488,25.477,1.54,,,,,,,,○,,,,,CTM/attachment/20160404163515993fb388946-f1fd-4f00-a1fc-53b1172ecd36/01020097-1
1140-00,豊橋技術科学大学 食堂,夕食,定食,2026/3/18,,豚ロース焼肉,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,焼物,肉（豚）,醤油,その他,,,中華,,,100,382.093,17.458,26.853,16.875,2.053,,,,,,,,○,,,,,CTM/attachment/20160414190948355a92a20f7-0d62-4ecf-9674-b0b7cf3a7c31/03555555-1
1140-00,豊橋技術科学大学 食堂,夕食,定食,2026/3/19,,さばの塩麹焼き,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,焼物,魚,塩,その他,秋,,和,,設定なし,70,292.08,16.028,24.31,7.022,2.082,,,,,,,,,,,,,CTM/attachment/201601281640116375f5c373a-210d-41ef-be31-0f58d384552e/00130006-15
