事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/23,,チキン味噌カツ,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,揚物,肉（鶏）,味噌,その他,,,和,,,150,605.6,28.699,37.405,40.103,3.741,,,,,,,,○,,○,,,CTM/attachment/2016040417401987404f447ee-ce2f-4838-aff5-4696a9c972f5/01020200-28
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/24,,チーズハンバーグデミグラスソース,,360,,本登録,通常レシピ,本部レシピ,肉メイン１,焼物,加工ミンチ製品,デミグラス,チーズ,,,その他,,,150,331.538,18.825,17.94,23.777,3.138,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/25,,揚げ鶏のピリ辛トマトマヨソース,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,揚物,肉（鶏）,マヨネーズ,ピリ辛,,,洋,,,150,583.523,22.274,49.683,12.653,1.985,,,,,,,,○,,○,,,CTM/attachment/2016040413364652840292b93-2d08-4351-af7b-8ed42e3d46fd/01020003-2
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/26,,豚肉の生姜焼き,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（豚）,醤油,しょうが,,,和,,,120,283.478,20.235,19.245,7.471,1.838,,,,,,,,○,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/3/27,,フライドチキン,,360,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（鶏）,塩,その他,,,洋,,設定なし,150,474.761,24.603,31.525,23.729,2.556,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/23,,白身魚のクリーム煮,,360,,本登録,通常レシピ,本部レシピ,魚メイン１,焼物,魚,ホワイト・牛乳,その他,秋,,洋,,テーマ別健康メニュー,90,290.518,17.698,16.31,22.887,1.83,,,,,,×,×,○,×,×,○,×,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/24,,メバル唐揚げ玉ねぎソース,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,酢・ドレ,その他,春,,洋,,設定なし,90,297.83,19.066,15.45,17.84,1.964,,,,,,,,○,,,,,CTM/attachment/2016040714012358404ebe1fb-b092-4db1-b44c-7e0fdc0ba805/01040047-1
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/25,,白身魚(ホキ)のレモンペッパー焼き,,360,,本登録,通常レシピ,本部レシピ,魚メイン１,焼物,魚,その他,,,設定なし,その他,,,50,117.92,13.896,6.856,0.488,1.392,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/26,,揚げさばの胡麻味噌がけ,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,揚物,魚,味噌,ごま,,,,,,120,352.975,15.346,27.079,15.063,1.489,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,昼食,ランチB,2026/3/27,,バサのなめこおろしかけ,,360,,本登録,通常レシピ,マイレシピ,魚メイン１,煮物,魚,設定なし,その他,冬,設定なし,設定なし,,テーマ別健康メニュー,50,203.34,17.323,9.308,13.268,1.53,,,,,,,,○,,,,,CTM/attachment/201602161035261756a3638f6-b058-4b0c-a218-0fed4c1059d0/00140041-7
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/3/23,,味噌煮込み風うどん,,300,,本登録,通常レシピ,マイレシピ,和麺,麺類,加工ミンチ製品,味噌,その他,,,和,,,40,424.642,20.112,9.921,63.568,3.824,,,,,,,,○,,○,,,CTM/attachment/20160408095958614ef6ecee0-d02d-4fc1-b2d8-c835c6da0733/味噌
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/3/24,,担々麺,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,肉（豚）,設定なし,ピリ辛,,,中華,,設定なし,50,633.276,21.774,26.914,77.472,6.12,,,,,,○,,○,,○,,○,CTM/attachment/2017020609202333624740f71-2ebf-4f8b-a9e2-da09a2b8bacf/15111144-17
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/3/25,,かき玉醤油ワンタンメン,,300,,本登録,通常レシピ,全社レシピ,中華麺,麺類,加工ミンチ製品,醤油,その他,,設定なし,和,,設定なし,60,483.817,40.068,20.51,69.908,7.928,,,,,,,,○,,○,,,CTM/attachment/20160407163539865ba8f8efe-e133-4e6d-96a3-eccf0ee0da64/15111144-79
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/3/26,,五目あんかけラーメン,,300,,本登録,通常レシピ,マイレシピ,中華麺,麺類,その他,醤油,その他,,,中華,,,40,529.388,22.077,16.281,71.352,8.451,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,昼食,日替わり麺,2026/3/27,,豚骨キムチラーメン,,300,,本登録,通常レシピ,全社レシピ,中華麺,麺類,加工ミンチ製品,設定なし,ピリ辛,,,韓国,,設定なし,40,467.86,35.026,23.348,64.375,6.376,,,,,,,,○,,,,,CTM/attachment/20160407161423586fdca452a-14f4-4c4d-b716-62e3f70c4c62/15111144-41
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/3/23,,蓮根・人参・油揚げの炒め煮,,1,,本登録,通常レシピ,マイレシピ,温小鉢,煮物,野菜,その他,その他,冬,,和,,テーマ別健康メニュー,20,117.565,2.686,5.604,14.304,1.182,,,,,,,,○,,,,,CTM/attachment/20160203091428894376394ff-c628-4931-9326-60ca079b8462/00140020-10
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/3/24,,野菜の揚げ浸し,,1,,本登録,通常レシピ,マイレシピ,冷小鉢,揚物,野菜,醤油,,秋,,,,,20,156.44,1.355,9.232,18.563,0.997,,,,,,,,○,,,,,CTM/attachment/202208031722015742dfc8528-e2cf-4afb-8ce5-9313d54e559e/IMG_0006
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/3/25,,カニクリームコロッケ,,1,,本登録,通常レシピ,マイレシピ,肉メイン１,焼物,肉（鶏）,ホワイト・牛乳,その他,冬,,洋,,,20,203.77,4.34,13.51,15.75,0.49,,,,,,○,○,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/3/26,,おからの炒り煮,,1,,本登録,通常レシピ,マイレシピ,その他２,煮物,豆・豆製品,その他,その他,,,和,,設定なし,20,143.91,5.723,5.692,17.989,1.177,,,,,,,,○,,,,,CTM/attachment/20160204192707974aa1ee0cf-927c-4c50-a50f-038ce965ff75/00140035-8
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH①,2026/3/27,,肉じゃが,,1,,本登録,通常レシピ,マイレシピ,その他２,煮物,いも類（こんにゃく含む）,醤油,その他,,設定なし,和,,設定なし,20,146.622,3.564,7.37,16.74,1.176,,,,,,,,○,,,,,CTM/attachment/2016041217304117481c0d0d0-1aa3-4627-bfa4-e0ee551327d7/02222222-19
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/3/23,,豆腐カツ肉味噌がけ,,1,,本登録,通常レシピ,マイレシピ,肉メイン１,揚物,豆・豆製品,味噌,その他,,,和,,,20,208.574,10.356,10.284,18.068,1.114,,,,,,,,○,,,,,CTM/attachment/202109241942254554b2a863c-b227-4ea0-bab9-c83884355dd8/IMG_0079
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/3/24,,かぼちゃのミルク煮,,1,,本登録,通常レシピ,全社レシピ,温小鉢,煮物,野菜,その他,その他,,ハロウィン,洋,,,20,107.038,2.918,4.297,16.71,0.507,,,,,,,,,,,○,,CTM/attachment/201604121442491109485e4ea-c588-40a1-8949-9428e31a1108/02010122-1
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/3/25,,冬瓜の鶏そぼろ煮,,1,,本登録,通常レシピ,全社レシピ,温小鉢,煮物,野菜,その他,その他,夏,,和,,設定なし,20,58.325,4.74,1.716,5.858,1.619,,,,,,,,○,,,,,CTM/attachment/20160701113801286ec24f1cd-f7a6-4df2-81c6-b580c5a6474d/冬瓜鶏そぼろ
1140-00,豊橋技術科学大学 食堂,昼食,SELECT DISH②,2026/3/26,,キーマカレー春巻,,1,,本登録,通常レシピ,全社レシピ,アラカルト１,揚物,加工ミンチ製品,その他,カレー,,設定なし,中華,,設定なし,20,253.435,3.92,16.31,22.47,0.56,,,,,,,,○,,,,,CTM/attachment/2016040620035051699e03183-ccb5-4d56-a8ae-047e37ecac7e/01111111-32
