事業所コード,事業所名,営業区分,提供商品,提供日,,献立表料理名,価格メモ,提供価格,,確定区分,料理区分,公開区分,料理形態,調理法,メイン素材,味①,味②,季節,行事,和洋中・国別,日本ご当地,特定料理,設定数,エネルギー(kcal),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g),栄養素6,栄養素7,栄養素8,栄養素9,栄養素10,えび,かに,小麦,そば,卵,乳,落花生,画像URL
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2026/4/20,,ソーセージ,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,肉（豚）,,,,,,,設定なし,,151.77,8.151,10.44,6.402,1.239,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2026/4/21,,切干大根の煮物,,200,,本登録,通常レシピ,マイレシピ,その他１,煮物,野菜,その他,その他,,,和,,,50,78.4,2.99,1.38,14.461,1.015,,,,,,,,○,,○,,,CTM/attachment/20160411171010727bd736bc5-0eb2-446f-b102-afa598081247/02222222-7
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2026/4/22,,吹きよせ,,200,,本登録,通常レシピ,マイレシピ,その他１,煮物,野菜,その他,その他,,,和,,,50,105.664,4.256,1.604,20.201,1.356,,,,,,,,○,,,,,CTM/attachment/2016041117071164b96d42c5-408c-48b6-94ba-6e23c645d551/02222222-5
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2026/4/23,,キャベツとベーコンのソテー,,200,,本登録,通常レシピ,マイレシピ,その他２,炒物,野菜,その他,その他,春,,中華,,設定なし,50,169.89,2.441,14.052,9.662,1.079,,,,,,,,○,,○,○,,CTM/attachment/20160411110728719a8ef655f-40ba-440c-93dc-67ca4153de04/04010034-1
1140-00,豊橋技術科学大学 食堂,朝食,朝食①,2026/4/24,,チキンナゲット,,200,,本登録,通常レシピ,マイレシピ,その他１,揚物,肉（鶏）,その他,その他,,,洋,,,50,199.08,9.345,14.226,9.585,1.047,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2026/4/20,,ゆで玉子,,200,,本登録,通常レシピ,マイレシピ,その他１,その他,卵・卵製品,,,,,,,,,90.6,7.38,6.18,0.18,1.231,,,,,,,,,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2026/4/21,,コーン入りスクランブルエッグ,,200,,本登録,通常レシピ,マイレシピ,その他１,炒物,卵・卵製品,,,,,洋,,設定なし,50,118.42,5.656,7.513,7.477,0.704,,,,,,,,,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2026/4/22,,温泉玉子,,200,,本登録,通常レシピ,マイレシピ,その他１,蒸物,卵・卵製品,設定なし,,,,,,,50,95.28,7.917,6.205,0.732,0.477,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2026/4/23,,オムレツ,,200,,本登録,通常レシピ,マイレシピ,中華麺,麺類,卵・卵製品,,,,,,,,50,40.17,2.091,1.71,3.792,0.459,,,,,,,,○,,○,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食②,2026/4/24,,厚焼玉子,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,卵・卵製品,設定なし,,,,,,,50,122.8,5.02,4.8,14.82,2.02,,,,,,,,○,,○,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2026/4/20,,ポテトサラダ,,200,,本登録,通常レシピ,全社レシピ,サラダ,サラダ,いも類（こんにゃく含む）,その他,その他,,,洋,,設定なし,,62.05,1.005,2.925,7.965,0.515,,,,,,,,,,○,,,CTM/attachment/2016040518185527800deee31-393e-4f8b-8b3f-68d81511926d/09666666-1
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2026/4/21,,野菜コロッケ,,200,,本登録,通常レシピ,マイレシピ,温小鉢,揚物,いも類（こんにゃく含む）,,,,,和,,設定なし,50,145.86,2.46,7.2,17.82,0.66,,,,,,,,○,,,○,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2026/4/22,,タラフライ,,200,,本登録,通常レシピ,全社レシピ,その他１,揚物,魚,その他,その他,,,洋,,,50,133.26,7.32,6.9,9.84,0.6,,,,,,,,○,,,,,CTM/attachment/20170208182007728148e347c-ead8-441d-8296-23386e61f0af/770ce1c3
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2026/4/23,,バジルチキン,,200,,本登録,通常レシピ,マイレシピ,その他１,焼物,肉（鶏）,塩,香草・しそ,,,洋,,設定なし,50,159.307,9.981,13.522,0.051,0.892,,,,,,,,,,,,,
1140-00,豊橋技術科学大学 食堂,朝食,朝食③,2026/4/24,,ひじきと大豆煮,,200,,本登録,通常レシピ,マイレシピ,その他１,煮物,豆・豆製品,その他,その他,,,和,,設定なし,50,110.648,5.1,5.157,13.881,1.156,,,,,,,,○,,,,,CTM/attachment/20160216101843291f7b7a41a-b006-4d8f-9dcc-f03c3ae98182/00140036-3
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/4/20,,鶏の生姜から揚げ,,360,,本登録,通常レシピ,全社レシピ,肉メイン１,揚物,肉（鶏）,その他,しょうが,,,和,,,,363.371,18.043,22.581,22.365,1.408,,,,,,,,○,,○,,,CTM/attachment/20160405102011412951ba6d-8a48-40ce-b745-f9bf783a963c/01020318-21
1140-00,豊橋技術科学大学 食堂,昼食,ランチA,2026/4/21,,豚カツ,,360,,本登録,通常レシピ,全社レシピ,その他１,揚物,肉（豚）,その他,その他,,,洋,,,100,333.72,14.04,18.72,25.44,1.08,,,,,,,,○,,○,○,,
